score,crossover_hz,sub_delay_ms,sub_gain_db
8.899932,80.000000,-3.900000,2.000000
8.900077,80.000000,-3.900000,2.125000
8.900304,80.000000,-3.925000,2.000000
8.901360,80.000000,-3.925000,2.125000
8.901687,80.000000,-3.875000,2.125000
8.901799,80.000000,-3.925000,1.875000
8.902354,80.000000,-3.875000,2.000000
8.902370,80.000000,-3.900000,1.875000
8.902778,80.000000,-3.900000,2.250000
8.903458,80.000000,-3.950000,2.000000
8.903617,80.000000,-3.875000,2.250000
8.903928,80.000000,-3.950000,1.875000
8.904945,80.000000,-3.925000,2.250000
8.905517,80.000000,-3.950000,2.125000
8.905646,80.000000,-3.875000,1.875000
8.905857,80.000000,-3.925000,1.750000
8.906185,80.000000,-3.850000,2.125000
8.906937,80.000000,-3.950000,1.750000
8.907404,80.000000,-3.900000,1.750000
8.907464,80.000000,-3.850000,2.250000
8.907556,80.000000,-3.850000,2.000000
8.908001,80.000000,-3.900000,2.375000
8.908105,80.000000,-3.875000,2.375000
8.908731,80.000000,-3.975000,1.875000
8.909360,80.000000,-3.975000,2.000000
8.910086,80.000000,-3.950000,2.250000
8.910627,80.000000,-3.975000,1.750000
8.911025,80.000000,-3.925000,2.375000
8.911351,80.000000,-3.850000,2.375000
8.911579,80.000000,-3.875000,1.750000
8.911609,80.000000,-3.850000,1.875000
8.912480,80.000000,-3.925000,1.625000
8.912488,80.000000,-3.950000,1.625000
8.912506,80.000000,-3.975000,2.125000
8.913538,80.000000,-3.825000,2.125000
8.914293,80.000000,-3.825000,2.250000
8.915038,80.000000,-3.900000,1.625000
8.915048,80.000000,-3.975000,1.625000
8.915101,80.000000,-3.875000,2.500000
8.915501,80.000000,-3.825000,2.000000
8.915699,80.000000,-3.900000,2.500000
8.916155,80.000000,-4.000000,1.875000
8.916876,80.000000,-4.000000,1.750000
8.917136,80.000000,-3.950000,2.375000
8.917721,80.000000,-3.825000,2.375000
8.917791,80.000000,-3.850000,2.500000
8.917952,80.000000,-4.000000,2.000000
8.917952,80.000000,-4.000000,2.000000
8.918151,80.000000,-3.975000,2.250000
8.918360,80.000000,-3.850000,1.750000
