score,crossover_hz,sub_delay_ms,sub_gain_db
8.623121,58.000000,3.475000,-10.625000
8.623138,58.000000,3.500000,-10.625000
8.623145,58.000000,3.500000,-10.750000
8.623148,58.000000,3.475000,-10.750000
8.623164,58.000000,3.475000,-10.500000
8.623191,58.000000,3.450000,-10.625000
8.623202,58.000000,3.500000,-10.500000
8.623213,58.000000,3.450000,-10.500000
8.623226,58.000000,3.525000,-10.750000
8.623238,58.000000,3.450000,-10.750000
8.623240,58.000000,3.525000,-10.625000
8.623277,58.000000,3.475000,-10.375000
8.623305,58.000000,3.450000,-10.375000
8.623325,58.000000,3.525000,-10.500000
8.623336,58.000000,3.500000,-10.375000
8.623347,58.000000,3.425000,-10.625000
8.623349,58.000000,3.425000,-10.500000
8.623391,58.000000,3.550000,-10.750000
8.623413,58.000000,3.425000,-10.750000
8.623422,58.000000,3.425000,-10.375000
8.623427,58.000000,3.550000,-10.625000
8.623462,58.000000,3.475000,-10.250000
8.623469,58.000000,3.450000,-10.250000
8.623482,58.000000,3.525000,-10.375000
8.623534,58.000000,3.550000,-10.500000
8.623543,58.000000,3.500000,-10.250000
8.623565,58.000000,3.425000,-10.250000
8.623574,58.000000,3.400000,-10.500000
8.623590,58.000000,3.400000,-10.625000
8.623627,58.000000,3.400000,-10.375000
8.623639,58.000000,3.575000,-10.750000
8.623674,58.000000,3.400000,-10.750000
8.623698,58.000000,3.575000,-10.625000
8.623707,58.000000,3.450000,-10.125000
8.623711,58.000000,3.525000,-10.250000
8.623713,58.000000,3.550000,-10.375000
8.623721,58.000000,3.475000,-10.125000
8.623751,58.000000,3.400000,-10.250000
8.623782,58.000000,3.425000,-10.125000
8.623824,58.000000,3.500000,-10.125000
8.623828,58.000000,3.575000,-10.500000
8.623887,58.000000,3.375000,-10.500000
8.623921,58.000000,3.375000,-10.375000
8.623921,58.000000,3.375000,-10.625000
8.623947,58.000000,3.400000,-10.125000
8.623965,58.000000,3.550000,-10.250000
8.623971,58.000000,3.600000,-10.750000
8.624014,58.000000,3.525000,-10.125000
8.624019,58.000000,3.450000,-10.000000
8.624019,58.000000,3.375000,-10.750000
