crossover_hz,exact_cancellation_penalty,exact_lr_mismatch_rms_db,exact_phase_penalty,exact_preference_penalty,exact_score,exact_target_rms_db,exact_validation_rms_db,proxy_score,score,sub_delay_ms,sub_gain_db
"140.000000","0.083178","0.929904","0.438312","0.000000","5.961777","3.630723","7.012639","7.175169","5.961777","-1.725000","-0.375000"
"140.000000","0.089211","0.932376","0.443470","0.000000","5.963734","3.625320","7.018650","7.173785","5.963734","-1.750000","-0.375000"
"140.000000","0.095309","0.934791","0.448720","0.000000","5.965826","3.619990","7.024699","7.172901","5.965826","-1.775000","-0.375000"
"140.000000","0.101430","0.937145","0.454061","0.000000","5.968033","3.614733","7.030789","7.172529","5.968033","-1.800000","-0.375000"
"140.000000","0.073519","0.934168","0.428873","0.000000","5.968074","3.628919","7.073408","7.176716","5.968074","-1.675000","-0.500000"
"140.000000","0.079608","0.937201","0.433822","0.000000","5.969819","3.622436","7.082433","7.174499","5.969819","-1.700000","-0.500000"
"140.000000","0.107574","0.939419","0.459489","0.000000","5.970354","3.609572","7.036843","7.172679","5.970354","-1.825000","-0.375000"
"140.000000","0.085797","0.940206","0.438870","0.000000","5.971722","3.616001","7.091579","7.172777","5.971722","-1.725000","-0.500000"
"140.000000","0.113731","0.941620","0.465002","0.000000","5.972779","3.604481","7.042952","7.173362","5.972779","-1.850000","-0.375000"
"140.000000","0.092059","0.943179","0.444014","0.000000","5.973772","3.609618","7.100841","7.171562","5.973772","-1.750000","-0.500000"
"140.000000","0.119868","0.943737","0.470598","0.000000","5.975295","3.599472","7.049073","7.174589","5.975295","-1.875000","-0.375000"
"140.000000","0.098395","0.946111","0.449250","0.000000","5.975964","3.603289","7.110214","7.170869","5.975964","-1.775000","-0.500000"
"140.000000","0.126116","0.946130","0.476269","0.000000","5.977903","3.593755","7.057687","7.176370","5.977903","-1.900000","-0.375000"
"140.000000","0.104764","0.948996","0.454575","0.000000","5.978282","3.597016","7.119694","7.170709","5.978282","-1.800000","-0.500000"
"140.000000","0.111175","0.951826","0.459988","0.000000","5.980724","3.590802","7.129275","7.171095","5.980724","-1.825000","-0.500000"
"140.000000","0.117605","0.954594","0.465486","0.000000","5.983280","3.584649","7.138952","7.172038","5.983280","-1.850000","-0.500000"
"140.000000","0.124030","0.957294","0.471066","0.000000","5.985937","3.578559","7.148721","7.173551","5.985937","-1.875000","-0.500000"
"140.000000","0.130462","0.967184","0.473946","0.000000","5.988174","3.571263","7.156958","7.175643","5.988174","-1.900000","-0.500000"
"140.000000","0.042764","0.882210","0.422724","0.000000","6.119224","3.867859","6.856493","7.174923","6.119224","-1.700000","-0.625000"
"140.000000","0.047561","0.885162","0.426839","0.000000","6.120684","3.862944","6.861959","7.173361","6.120684","-1.725000","-0.625000"
"140.000000","0.052547","0.888097","0.431066","0.000000","6.122334","3.858099","6.867395","7.172327","6.122334","-1.750000","-0.625000"
"140.000000","0.057693","0.891008","0.435403","0.000000","6.124158","3.853325","6.872804","7.171835","6.124158","-1.775000","-0.625000"
"140.000000","0.062982","0.893899","0.439847","0.000000","6.126146","3.848598","6.878270","7.171900","6.126146","-1.800000","-0.625000"
"140.000000","0.068405","0.896756","0.444395","0.000000","6.128290","3.843928","6.883752","7.172533","6.128290","-1.825000","-0.625000"
"140.000000","0.073931","0.899572","0.449044","0.000000","6.130576","3.839320","6.889244","7.173749","6.130576","-1.850000","-0.625000"
"140.000000","0.079559","0.902344","0.453792","0.000000","6.132997","3.834763","6.894778","7.175560","6.132997","-1.875000","-0.625000"
"140.000000","0.046280","0.883864","0.426171","0.000000","6.148199","3.894648","6.850404","7.176955","6.148199","-1.725000","-0.750000"
"140.000000","0.051209","0.886787","0.430379","0.000000","6.149795","3.889792","6.855816","7.176112","6.149795","-1.750000","-0.750000"
"140.000000","0.056299","0.889691","0.434698","0.000000","6.151568","3.885001","6.861224","7.175833","6.151568","-1.775000","-0.750000"
"140.000000","0.061542","0.892577","0.439123","0.000000","6.153508","3.880256","6.866690","7.176133","6.153508","-1.800000","-0.750000"
