crossover_hz,exact_cancellation_penalty,exact_lr_mismatch_rms_db,exact_phase_penalty,exact_preference_penalty,exact_score,exact_target_rms_db,exact_validation_rms_db,proxy_score,score,sub_delay_ms,sub_gain_db
"54.000000","0.067478","4.312626","0.367806","0.000000","7.989444","4.270522","7.994435","8.593033","7.989444","3.525000","-10.375000"
"54.000000","0.063730","4.315441","0.371614","0.000000","7.989487","4.269527","7.993026","8.592928","7.989487","3.550000","-10.625000"
"54.000000","0.056858","4.324819","0.381963","0.000000","7.989511","4.274833","7.949067","8.592787","7.989511","3.525000","-10.625000"
"54.000000","0.067191","4.311665","0.366406","0.000000","7.989544","4.271477","7.995623","8.593040","7.989544","3.550000","-10.500000"
"54.000000","0.067432","4.312874","0.367827","0.000000","7.989772","4.271033","7.993386","8.592892","7.989772","3.525000","-10.500000"
"54.000000","0.067773","4.313852","0.369219","0.000000","7.989784","4.269939","7.993110","8.592943","7.989784","3.500000","-10.375000"
"54.000000","0.067701","4.314123","0.369250","0.000000","7.990086","4.270523","7.991662","8.592810","7.990086","3.500000","-10.500000"
"54.000000","0.060646","4.321920","0.379643","0.000000","7.990263","4.274800","7.954842","8.592712","7.990263","3.500000","-10.625000"
"54.000000","0.060905","4.323206","0.381060","0.000000","7.990654","4.274133","7.954027","8.592702","7.990654","3.475000","-10.625000"
"54.000000","0.068301","4.316610","0.372088","0.000000","7.990669","4.268853","7.990551","8.592965","7.990669","3.450000","-10.375000"
"54.000000","0.060986","4.324792","0.382527","0.000000","7.990950","4.269777","7.967350","8.592705","7.990950","3.450000","-10.750000"
"54.000000","0.064413","4.320980","0.378139","0.000000","7.991127","4.269210","7.978959","8.592758","7.991127","3.450000","-10.625000"
"54.000000","0.065261","4.323624","0.380208","0.000000","7.992139","4.266936","7.982904","8.593070","7.992139","3.400000","-10.625000"
"54.000000","0.082353","4.367629","0.371926","0.000000","8.041101","4.254470","8.156227","8.592832","8.041101","3.425000","-10.750000"
"54.000000","0.088134","4.359964","0.366421","0.000000","8.042468","4.259463","8.154212","8.592845","8.042468","3.450000","-10.500000"
"54.000000","0.085082","4.365181","0.371148","0.000000","8.042646","4.256488","8.154950","8.592881","8.042646","3.425000","-10.625000"
"54.000000","0.087535","4.360665","0.363561","0.000000","8.043571","4.260626","8.159672","8.593113","8.043571","3.500000","-10.250000"
"54.000000","0.087836","4.361952","0.365013","0.000000","8.043936","4.259987","8.158503","8.593083","8.043936","3.475000","-10.250000"
"54.000000","0.088200","4.361382","0.364910","0.000000","8.043999","4.260320","8.157840","8.592921","8.043999","3.475000","-10.375000"
"54.000000","0.127873","4.380927","0.322245","0.000000","8.572955","4.516369","9.243958","8.592718","8.572955","3.525000","-10.750000"
"54.000000","0.127560","4.380211","0.320826","0.000000","8.572963","4.517129","9.245295","8.592853","8.572963","3.550000","-10.750000"
"54.000000","0.128184","4.381766","0.323683","0.000000","8.573041","4.515646","9.242649","8.592648","8.573041","3.500000","-10.750000"
"54.000000","0.127247","4.379617","0.319424","0.000000","8.573065","4.517924","9.246659","8.593053","8.573065","3.575000","-10.750000"
"54.000000","0.128490","4.382727","0.325138","0.000000","8.573219","4.514958","9.241368","8.592644","8.573219","3.475000","-10.750000"
"54.000000","0.129366","4.386350","0.329606","0.000000","8.574315","4.513118","9.237700","8.593025","8.574315","3.400000","-10.750000"
"54.000000","0.131872","4.376227","0.318444","0.000000","8.574435","4.519877","9.243633","8.593134","8.574435","3.575000","-10.625000"
"54.000000","0.137704","4.375930","0.323826","0.000000","8.576137","4.518795","9.235089","8.592794","8.576137","3.475000","-10.500000"
"54.000000","0.138234","4.378214","0.326816","0.000000","8.576664","4.517462","9.232502","8.592962","8.576664","3.425000","-10.500000"
"54.000000","0.147587","4.370327","0.320742","0.000000","8.578082","4.522203","9.227433","8.593120","8.578082","3.450000","-10.250000"
"54.000000","0.142970","4.374854","0.325852","0.000000","8.578092","4.519454","9.229301","8.593076","8.578092","3.425000","-10.375000"
