crossover_hz,exact_cancellation_penalty,exact_lr_mismatch_rms_db,exact_phase_penalty,exact_preference_penalty,exact_score,exact_target_rms_db,exact_validation_rms_db,proxy_score,score,sub_delay_ms,sub_gain_db
"95.000000","2.573343","4.956930","0.618044","0.000000","8.969654","3.684054","8.849259","9.015547","8.969654","-3.450000","2.000000"
"95.000000","2.621198","5.021695","0.619974","0.000000","9.051780","3.716939","8.875130","9.009407","9.051780","-3.475000","2.000000"
"95.000000","2.632841","5.031290","0.621108","0.000000","9.062403","3.715794","8.887866","9.011808","9.062403","-3.475000","2.125000"
"95.000000","2.622393","5.032155","0.619376","0.000000","9.063543","3.725172","8.873889","9.012424","9.063543","-3.475000","1.875000"
"95.000000","2.659809","5.074799","0.621666","0.000000","9.120187","3.744261","8.899958","9.004746","9.120187","-3.500000","2.000000"
"95.000000","2.659809","5.074799","0.621666","0.000000","9.120187","3.744261","8.899958","9.004746","9.120187","-3.500000","2.000000"
"95.000000","2.676757","5.080746","0.624217","0.000000","9.126091","3.734921","8.920389","9.015048","9.126091","-3.500000","2.250000"
"95.000000","2.672343","5.084799","0.623043","0.000000","9.131403","3.743408","8.911427","9.007352","9.131403","-3.500000","2.125000"
"95.000000","2.661215","5.087427","0.621142","0.000000","9.134345","3.755746","8.891770","9.007378","9.134345","-3.500000","1.875000"
"95.000000","2.667405","5.096126","0.621346","0.000000","9.144673","3.758372","8.900088","9.015406","9.144673","-3.500000","1.750000"
"95.000000","2.699758","5.129672","0.624018","0.000000","9.191322","3.773378","8.922587","9.001877","9.191322","-3.525000","2.000000"
"95.000000","2.707442","5.131121","0.625339","0.000000","9.192376","3.767387","8.933798","9.004933","9.192376","-3.525000","2.125000"
"95.000000","2.714798","5.132171","0.626753","0.000000","9.193217","3.761771","8.943563","9.012894","9.193217","-3.525000","2.250000"
"95.000000","2.702605","5.144142","0.622891","0.000000","9.207843","3.784824","8.920330","9.003849","9.207843","-3.525000","1.875000"
"95.000000","2.708005","5.152536","0.623111","0.000000","9.217416","3.788455","8.923264","9.010980","9.217416","-3.525000","1.750000"
"95.000000","2.749515","5.179078","0.628684","0.000000","9.254840","3.786668","8.965390","9.013344","9.254840","-3.550000","2.250000"
"95.000000","2.736117","5.180013","0.625841","0.000000","9.256926","3.800349","8.944819","9.001242","9.256926","-3.550000","2.000000"
"95.000000","2.747121","5.186325","0.627479","0.000000","9.263731","3.796630","8.957200","9.004945","9.263731","-3.550000","2.125000"
"95.000000","2.744226","5.202291","0.625228","0.000000","9.283082","3.815940","8.944143","9.002331","9.283082","-3.550000","1.875000"
"95.000000","2.746359","5.206903","0.625344","0.000000","9.288174","3.818061","8.945930","9.008313","9.288174","-3.550000","1.750000"
"95.000000","2.775915","5.236323","0.627880","0.000000","9.330011","3.831036","8.967824","9.003259","9.330011","-3.575000","2.000000"
"95.000000","2.784812","5.239441","0.629402","0.000000","9.332759","3.825462","8.979465","9.007776","9.332759","-3.575000","2.125000"
"95.000000","2.781447","5.255061","0.627060","0.000000","9.351815","3.844895","8.966159","9.003297","9.351815","-3.575000","1.875000"
"95.000000","2.787525","5.264518","0.627424","0.000000","9.362763","3.849027","8.969732","9.007962","9.362763","-3.575000","1.750000"
"95.000000","2.814840","5.292452","0.629806","0.000000","9.402824","3.862068","8.990236","9.008382","9.402824","-3.600000","2.000000"
"95.000000","2.822591","5.293467","0.631366","0.000000","9.403094","3.855268","9.001572","9.013808","9.403094","-3.600000","2.125000"
"95.000000","2.819652","5.309995","0.629070","0.000000","9.423464","3.875498","8.988292","9.007259","9.423464","-3.600000","1.875000"
"95.000000","2.826925","5.321711","0.629347","0.000000","9.436938","3.880850","8.992181","9.010480","9.436938","-3.600000","1.750000"
"95.000000","2.860447","5.369916","0.631019","0.000000","9.500904","3.908950","9.011183","9.014691","9.500904","-3.625000","1.875000"
"95.000000","2.866213","5.379211","0.631315","0.000000","9.511126","3.912583","9.014707","9.016413","9.511126","-3.625000","1.750000"
