score,crossover_hz,sub_delay_ms,sub_gain_db
7.017038,169.000000,-3.250000,-1.375000
7.017111,169.000000,-3.225000,-1.375000
7.017158,168.500000,-3.250000,-1.375000
7.017175,169.000000,-3.275000,-1.375000
7.017212,168.500000,-3.225000,-1.375000
7.017228,168.000000,-3.250000,-1.250000
7.017230,167.500000,-3.250000,-1.250000
7.017278,168.000000,-3.275000,-1.250000
7.017299,167.500000,-3.275000,-1.250000
7.017315,168.500000,-3.275000,-1.375000
7.017373,167.500000,-3.225000,-1.250000
7.017382,169.000000,-3.200000,-1.375000
7.017389,168.000000,-3.225000,-1.250000
7.017453,168.500000,-3.250000,-1.250000
7.017464,168.500000,-3.200000,-1.375000
7.017470,167.000000,-3.250000,-1.250000
7.017485,168.500000,-3.275000,-1.250000
7.017508,168.000000,-3.250000,-1.375000
7.017534,169.000000,-3.300000,-1.375000
7.017542,168.000000,-3.225000,-1.375000
7.017550,168.000000,-3.300000,-1.250000
7.017559,167.000000,-3.275000,-1.250000
7.017592,167.500000,-3.300000,-1.250000
7.017593,167.000000,-3.225000,-1.250000
7.017631,168.500000,-3.225000,-1.250000
7.017685,168.000000,-3.275000,-1.375000
7.017694,168.500000,-3.300000,-1.375000
7.017715,167.500000,-3.200000,-1.250000
7.017738,168.500000,-3.300000,-1.250000
7.017748,168.000000,-3.200000,-1.250000
7.017775,168.000000,-3.200000,-1.375000
7.017839,169.000000,-3.175000,-1.375000
7.017873,167.000000,-3.300000,-1.250000
7.017896,169.000000,-3.250000,-1.250000
7.017903,168.500000,-3.175000,-1.375000
7.017910,169.000000,-3.275000,-1.250000
7.017916,167.000000,-3.200000,-1.250000
7.017957,166.500000,-3.250000,-1.250000
7.018008,168.500000,-3.200000,-1.250000
7.018056,168.000000,-3.325000,-1.250000
7.018061,166.500000,-3.225000,-1.250000
7.018067,166.500000,-3.275000,-1.250000
7.018087,168.000000,-3.300000,-1.375000
7.018090,169.000000,-3.225000,-1.250000
7.018099,167.500000,-3.250000,-1.375000
7.018112,167.500000,-3.225000,-1.375000
7.018120,167.500000,-3.325000,-1.250000
7.018124,169.000000,-3.325000,-1.375000
7.018143,169.000000,-3.300000,-1.250000
7.018195,168.000000,-3.175000,-1.375000
