score,crossover_hz,sub_delay_ms,sub_gain_db
8.592644,54.000000,3.475000,-10.750000
8.592648,54.000000,3.500000,-10.750000
8.592702,54.000000,3.475000,-10.625000
8.592705,54.000000,3.450000,-10.750000
8.592712,54.000000,3.500000,-10.625000
8.592718,54.000000,3.525000,-10.750000
8.592758,54.000000,3.450000,-10.625000
8.592787,54.000000,3.525000,-10.625000
8.592794,54.000000,3.475000,-10.500000
8.592810,54.000000,3.500000,-10.500000
8.592832,54.000000,3.425000,-10.750000
8.592845,54.000000,3.450000,-10.500000
8.592853,54.000000,3.550000,-10.750000
8.592881,54.000000,3.425000,-10.625000
8.592892,54.000000,3.525000,-10.500000
8.592921,54.000000,3.475000,-10.375000
8.592924,53.500000,3.475000,-10.750000
8.592928,54.000000,3.550000,-10.625000
8.592943,53.500000,3.500000,-10.750000
8.592943,54.000000,3.500000,-10.375000
8.592962,54.000000,3.425000,-10.500000
8.592965,54.000000,3.450000,-10.375000
8.592971,53.500000,3.450000,-10.750000
8.592994,53.500000,3.475000,-10.625000
8.593014,53.500000,3.500000,-10.625000
8.593025,54.000000,3.400000,-10.750000
8.593026,53.500000,3.525000,-10.750000
8.593033,54.000000,3.525000,-10.375000
8.593038,53.500000,3.450000,-10.625000
8.593040,54.000000,3.550000,-10.500000
8.593053,54.000000,3.575000,-10.750000
8.593070,54.000000,3.400000,-10.625000
8.593076,54.000000,3.425000,-10.375000
8.593083,54.000000,3.475000,-10.250000
8.593083,53.500000,3.425000,-10.750000
8.593097,53.500000,3.475000,-10.500000
8.593099,53.500000,3.525000,-10.625000
8.593113,54.000000,3.500000,-10.250000
8.593120,54.000000,3.450000,-10.250000
8.593121,53.500000,3.500000,-10.500000
8.593134,54.000000,3.575000,-10.625000
8.593138,53.500000,3.450000,-10.500000
8.593145,54.000000,3.400000,-10.500000
8.593148,53.500000,3.425000,-10.625000
8.593174,53.500000,3.550000,-10.750000
8.593188,54.000000,3.550000,-10.375000
8.593194,54.500000,3.500000,-10.750000
8.593197,54.500000,3.475000,-10.750000
8.593210,53.500000,3.525000,-10.500000
8.593210,54.000000,3.525000,-10.250000
