score,crossover_hz,sub_delay_ms,sub_gain_db
7.170709,140.000000,-1.800000,-0.500000
7.170869,140.000000,-1.775000,-0.500000
7.171095,140.000000,-1.825000,-0.500000
7.171562,140.000000,-1.750000,-0.500000
7.171835,140.000000,-1.775000,-0.625000
7.171900,140.000000,-1.800000,-0.625000
7.172038,140.000000,-1.850000,-0.500000
7.172327,140.000000,-1.750000,-0.625000
7.172529,140.000000,-1.800000,-0.375000
7.172533,140.000000,-1.825000,-0.625000
7.172679,140.000000,-1.825000,-0.375000
7.172777,140.000000,-1.725000,-0.500000
7.172901,140.000000,-1.775000,-0.375000
7.173361,140.000000,-1.725000,-0.625000
7.173362,140.000000,-1.850000,-0.375000
7.173551,140.000000,-1.875000,-0.500000
7.173749,140.000000,-1.850000,-0.625000
7.173785,140.000000,-1.750000,-0.375000
7.174499,140.000000,-1.700000,-0.500000
7.174589,140.000000,-1.875000,-0.375000
7.174923,140.000000,-1.700000,-0.625000
7.175169,140.000000,-1.725000,-0.375000
7.175560,140.000000,-1.875000,-0.625000
7.175643,140.000000,-1.900000,-0.500000
7.175833,140.000000,-1.775000,-0.750000
7.175834,139.500000,-1.775000,-0.500000
7.175860,139.500000,-1.800000,-0.500000
7.176112,140.000000,-1.750000,-0.750000
7.176133,140.000000,-1.800000,-0.750000
7.176358,139.500000,-1.750000,-0.500000
7.176370,140.000000,-1.900000,-0.375000
7.176451,139.500000,-1.825000,-0.500000
7.176716,140.000000,-1.675000,-0.500000
7.176955,140.000000,-1.725000,-0.750000
7.176994,139.500000,-1.800000,-0.375000
7.177000,140.000000,-1.675000,-0.625000
7.177027,140.000000,-1.825000,-0.750000
7.177041,140.000000,-1.700000,-0.375000
7.177186,139.500000,-1.775000,-0.375000
7.177248,140.000000,-1.825000,-0.250000
7.177322,140.000000,-1.800000,-0.250000
7.177343,139.500000,-1.825000,-0.375000
7.177420,139.500000,-1.725000,-0.500000
7.177486,139.500000,-1.775000,-0.625000
7.177618,139.500000,-1.850000,-0.500000
7.177685,140.000000,-1.850000,-0.250000
7.177742,139.500000,-1.800000,-0.625000
7.177804,139.500000,-1.750000,-0.625000
7.177895,140.000000,-1.775000,-0.250000
7.177906,139.500000,-1.750000,-0.375000
