score,crossover_hz,sub_delay_ms,sub_gain_db
9.001242,95.000000,-3.550000,2.000000
9.001877,95.000000,-3.525000,2.000000
9.002331,95.000000,-3.550000,1.875000
9.003259,95.000000,-3.575000,2.000000
9.003297,95.000000,-3.575000,1.875000
9.003849,95.000000,-3.525000,1.875000
9.004746,95.000000,-3.500000,2.000000
9.004746,95.000000,-3.500000,2.000000
9.004933,95.000000,-3.525000,2.125000
9.004945,95.000000,-3.550000,2.125000
9.007259,95.000000,-3.600000,1.875000
9.007352,95.000000,-3.500000,2.125000
9.007378,95.000000,-3.500000,1.875000
9.007776,95.000000,-3.575000,2.125000
9.007962,95.000000,-3.575000,1.750000
9.008313,95.000000,-3.550000,1.750000
9.008382,95.000000,-3.600000,2.000000
9.009407,95.000000,-3.475000,2.000000
9.010480,95.000000,-3.600000,1.750000
9.010980,95.000000,-3.525000,1.750000
9.011808,95.000000,-3.475000,2.125000
9.012424,95.000000,-3.475000,1.875000
9.012894,95.000000,-3.525000,2.250000
9.013344,95.000000,-3.550000,2.250000
9.013808,95.000000,-3.600000,2.125000
9.014691,95.000000,-3.625000,1.875000
9.015048,95.000000,-3.500000,2.250000
9.015406,95.000000,-3.500000,1.750000
9.015547,95.000000,-3.450000,2.000000
9.016413,95.000000,-3.625000,1.750000
9.016769,95.000000,-3.575000,2.250000
9.017047,95.000000,-3.625000,2.000000
9.017319,95.000000,-3.575000,1.625000
9.018018,95.000000,-3.450000,2.125000
9.018079,95.000000,-3.600000,1.625000
9.018629,95.000000,-3.450000,1.875000
9.019301,95.000000,-3.550000,1.625000
9.019459,95.000000,-3.475000,2.250000
9.021043,95.000000,-3.475000,1.750000
9.022222,95.000000,-3.625000,1.625000
9.022881,95.000000,-3.425000,2.000000
9.023410,95.000000,-3.525000,1.625000
9.023458,95.000000,-3.625000,2.125000
9.023498,95.000000,-3.600000,2.250000
9.025645,95.000000,-3.525000,2.375000
9.025694,95.000000,-3.425000,2.125000
9.025702,95.000000,-3.425000,1.875000
9.025849,95.000000,-3.450000,2.250000
9.026088,95.000000,-3.650000,1.875000
9.026316,95.000000,-3.650000,1.750000
