* Measurement data measured by REW V5.31.3
* Source: Umik-1  Gain: 18dB, no input selected, R, volume: no control. Timing signal peak level -35.6 dBFS, measurement signal peak level -25.6 dBFS
* Format: 128k Log Swept Sine, 1 sweep at -20.0 dBFS using an acoustic timing reference
* Dated: Apr 18, 2026 8:59:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0494 ms (-17 mm, -0.67 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset
* Measurement: L + Sub 1
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.3662 46.635 162.95
0.7324 37.424 -55.50
1.0986 52.938 -62.36
1.4648 57.839 -79.38
1.8311 59.788 -95.60
2.1973 59.801 -109.14
2.5635 58.104 -116.65
2.9297 55.102 -109.54
3.2959 53.968 -81.04
3.6621 56.305 -62.12
4.0283 58.292 -58.26
4.3945 59.277 -58.37
4.7607 59.691 -58.59
5.1270 59.838 -59.30
5.4932 59.641 -61.98
5.8594 58.766 -66.86
6.2256 56.820 -72.82
6.5918 53.341 -77.82
6.9580 47.496 -79.75
7.3242 35.188 -98.66
7.6904 44.550 148.44
8.0566 54.365 143.15
8.4229 60.761 134.32
8.7891 65.321 120.90
9.1553 68.574 104.26
9.5215 70.768 85.19
9.8877 72.007 64.04
10.2539 72.023 40.91
10.6201 70.736 15.52
10.9863 67.896 -13.37
11.3525 61.909 -53.48
11.7188 56.926 -177.55
12.0850 66.169 116.81
12.4512 70.698 83.25
12.8174 73.145 54.88
13.1836 74.307 29.73
13.5498 74.402 8.79
13.9160 73.551 -4.60
14.2822 72.583 -4.04
14.6484 73.952 6.50
15.0146 77.309 6.31
15.3809 80.371 -5.12
15.7471 82.593 -21.56
16.1133 84.020 -39.78
16.4795 84.747 -58.24
16.8457 84.844 -75.91
17.2119 84.366 -91.84
17.5781 83.389 -104.87
17.9443 82.093 -113.54
18.3105 80.874 -116.80
18.6768 80.279 -116.18
19.0430 80.443 -116.04
19.4092 80.917 -119.04
19.7754 81.263 -124.48
20.1416 81.315 -130.49
20.5078 81.121 -135.26
20.8740 80.902 -137.64
21.2402 80.978 -137.95
21.6064 81.521 -138.38
21.9727 82.349 -141.17
22.3389 83.122 -146.75
22.7051 83.590 -154.13
23.0713 83.645 -161.74
23.4375 83.311 -167.85
23.8037 82.788 -170.76
24.1699 82.506 -170.01
24.5361 82.862 -168.07
24.9023 83.734 -168.70
25.2686 84.659 -173.04
25.6348 85.310 -179.95
26.0010 85.582 172.18
26.3672 85.503 164.74
26.7334 85.185 158.69
27.0996 84.786 154.41
27.4658 84.455 151.59
27.8320 84.250 149.50
28.1982 84.141 147.60
28.5645 84.084 145.87
28.9307 84.093 144.44
29.2969 84.216 143.16
29.6631 84.469 141.49
30.0293 84.791 138.91
30.3955 85.083 135.30
30.7617 85.267 130.98
31.1279 85.315 126.41
31.4941 85.241 121.98
31.8604 85.078 117.88
32.2266 84.856 114.15
32.5928 84.596 110.76
32.9590 84.306 107.69
33.3252 83.999 104.92
33.6914 83.689 102.40
34.0576 83.384 100.04
34.4238 83.081 97.72
34.7900 82.764 95.41
35.1563 82.423 93.16
35.5225 82.059 91.08
35.8887 81.682 89.22
36.2549 81.301 87.58
36.6211 80.917 86.14
36.9873 80.534 84.96
37.3535 80.163 84.08
37.7197 79.832 83.47
38.0859 79.553 82.88
38.4522 79.305 82.05
38.8184 79.034 80.89
39.1846 78.690 79.64
39.5508 78.267 78.72
39.9170 77.817 78.47
40.2832 77.426 78.80
40.6494 77.143 79.11
41.0156 76.931 78.66
41.3818 76.682 77.06
41.7481 76.282 74.37
42.1143 75.646 70.88
42.4805 74.711 66.85
42.8467 73.406 62.29
43.2129 71.581 56.78
43.5791 68.877 48.93
43.9453 64.338 33.34
44.3115 57.682 -29.62
44.6777 64.846 -102.73
45.0439 70.866 -121.78
45.4102 74.787 -132.69
45.7764 77.647 -141.63
46.1426 79.846 -149.84
46.5088 81.573 -157.60
46.8750 82.938 -164.91
47.2412 84.019 -171.71
47.6074 84.878 -177.91
47.9736 85.568 176.50
48.3398 86.133 171.50
48.7061 86.602 167.05
49.0723 86.999 163.07
49.4385 87.336 159.54
49.8047 87.630 156.47
50.1709 87.897 153.86
50.5371 88.161 151.71
50.9033 88.445 149.98
51.2695 88.777 148.60
51.6357 89.182 147.41
52.0020 89.681 146.21
52.3682 90.280 144.71
52.7344 90.963 142.64
53.1006 91.699 139.81
53.4668 92.452 136.16
53.8330 93.195 131.75
54.1992 93.910 126.64
54.5654 94.587 120.86
54.9316 95.212 114.39
55.2979 95.762 107.21
55.6641 96.205 99.38
56.0303 96.506 91.00
56.3965 96.634 82.31
56.7627 96.572 73.59
57.1289 96.315 65.18
57.4951 95.882 57.43
57.8613 95.311 50.63
58.2275 94.660 44.94
58.5938 93.997 40.30
58.9600 93.376 36.44
59.3262 92.818 32.92
59.6924 92.305 29.34
60.0586 91.799 25.49
60.4248 91.260 21.29
60.7910 90.662 16.77
61.1572 89.994 11.95
61.5234 89.247 6.73
61.8897 88.404 0.87
62.2559 87.418 -6.03
62.6221 86.195 -14.53
62.9883 84.578 -25.40
63.3545 82.325 -40.10
63.7207 79.125 -62.60
64.0869 75.472 -104.79
64.4531 76.085 -165.05
64.8193 79.763 157.80
65.1856 82.595 136.40
65.5518 84.460 121.15
65.9180 85.650 109.15
66.2842 86.385 99.42
66.6504 86.825 91.46
67.0166 87.082 84.84
67.3828 87.215 79.10
67.7490 87.233 73.92
68.1152 87.117 69.18
68.4815 86.845 65.03
68.8477 86.414 61.81
69.2139 85.853 59.92
69.5801 85.230 59.72
69.9463 84.647 61.40
70.3125 84.220 64.75
70.6787 84.044 69.16
71.0449 84.145 73.77
71.4111 84.472 77.87
71.7773 84.946 81.16
72.1436 85.503 83.67
72.5098 86.121 85.55
72.8760 86.796 86.81
73.2422 87.524 87.34
73.6084 88.276 87.01
73.9746 89.011 85.79
74.3408 89.691 83.82
74.7070 90.298 81.32
75.0732 90.828 78.48
75.4395 91.294 75.42
75.8057 91.705 72.20
76.1719 92.064 68.79
76.5381 92.365 65.20
76.9043 92.598 61.49
77.2705 92.761 57.80
77.6367 92.862 54.23
78.0029 92.919 50.87
78.3691 92.952 47.72
78.7354 92.976 44.72
79.1016 92.992 41.78
79.4678 92.997 38.88
79.8340 92.989 36.02
80.2002 92.971 33.25
80.5664 92.954 30.54
80.9326 92.943 27.82
81.2988 92.934 25.00
81.6650 92.908 22.04
82.0313 92.849 19.01
82.3975 92.749 16.06
82.7637 92.626 13.34
83.1299 92.510 10.87
83.4961 92.431 8.50
83.8623 92.394 5.95
84.2285 92.369 2.95
84.5947 92.309 -0.58
84.9609 92.165 -4.52
85.3272 91.910 -8.60
85.6934 91.542 -12.52
86.0596 91.081 -16.02
86.4258 90.562 -19.00
86.7920 90.015 -21.49
87.1582 89.456 -23.62
87.5244 88.877 -25.50
87.8906 88.259 -27.12
88.2568 87.584 -28.34
88.6231 86.857 -28.90
88.9893 86.108 -28.55
89.3555 85.389 -27.16
89.7217 84.763 -24.82
90.0879 84.274 -21.79
90.4541 83.941 -18.42
90.8203 83.761 -15.01
91.1865 83.725 -11.78
91.5527 83.820 -8.97
91.9190 84.019 -6.83
92.2852 84.277 -5.49
92.6514 84.547 -4.95
93.0176 84.790 -5.05
93.3838 84.991 -5.59
93.7500 85.148 -6.40
94.1162 85.268 -7.36
94.4824 85.355 -8.43
94.8486 85.414 -9.52
95.2149 85.450 -10.56
95.5811 85.483 -11.48
95.9473 85.542 -12.29
96.3135 85.647 -13.19
96.6797 85.798 -14.42
97.0459 85.969 -16.17
97.4121 86.121 -18.51
97.7783 86.222 -21.33
98.1445 86.257 -24.47
98.5108 86.226 -27.79
98.8770 86.137 -31.22
99.2432 85.993 -34.75
99.6094 85.793 -38.37
99.9756 85.531 -42.06
100.3418 85.204 -45.76
100.7080 84.812 -49.39
101.0742 84.362 -52.92
101.4404 83.858 -56.35
101.8066 83.299 -59.67
102.1729 82.679 -62.85
102.5391 81.998 -65.80
102.9053 81.264 -68.44
103.2715 80.496 -70.72
103.6377 79.710 -72.74
104.0039 78.901 -74.61
104.3701 78.049 -76.40
104.7363 77.128 -77.96
105.1025 76.138 -79.03
105.4688 75.120 -79.38
105.8350 74.141 -79.10
106.2012 73.241 -78.65
106.5674 72.391 -78.61
106.9336 71.520 -79.24
107.2998 70.570 -80.47
107.6660 69.549 -82.24
108.0322 68.504 -85.03
108.3984 67.457 -90.08
108.7647 66.379 -99.20
109.1309 65.305 -114.34
109.4971 64.598 -136.65
109.8633 64.921 -163.40
110.2295 66.363 172.21
110.5957 68.268 153.68
110.9619 70.134 140.08
111.3281 71.792 129.62
111.6943 73.202 121.04
112.0606 74.360 113.71
112.4268 75.277 107.46
112.7930 75.997 102.38
113.1592 76.599 98.57
113.5254 77.181 95.86
113.8916 77.821 93.75
114.2578 78.529 91.57
114.6240 79.260 88.87
114.9902 79.950 85.58
115.3565 80.557 81.86
115.7227 81.076 77.95
116.0889 81.522 73.98
116.4551 81.909 69.95
116.8213 82.240 65.77
117.1875 82.502 61.38
117.5537 82.675 56.82
117.9199 82.745 52.16
118.2861 82.706 47.50
118.6524 82.554 42.90
119.0186 82.276 38.37
119.3848 81.847 33.97
119.7510 81.224 29.88
120.1172 80.364 26.48
120.4834 79.237 24.47
120.8496 77.857 24.89
121.2158 76.338 29.09
121.5820 74.995 38.27
121.9483 74.351 51.83
122.3145 74.748 65.96
122.6807 75.933 76.61
123.0469 77.412 82.67
123.4131 78.855 84.95
123.7793 80.111 84.64
124.1455 81.126 82.73
124.5117 81.903 80.06
124.8779 82.478 77.23
125.2442 82.905 74.60
125.6104 83.244 72.31
125.9766 83.537 70.31
126.3428 83.805 68.46
126.7090 84.050 66.66
127.0752 84.262 64.90
127.4414 84.439 63.22
127.8076 84.583 61.68
128.1738 84.707 60.35
128.5400 84.823 59.21
128.9063 84.942 58.24
129.2725 85.073 57.36
129.6387 85.218 56.49
130.0049 85.372 55.54
130.3711 85.522 54.48
130.7373 85.657 53.32
131.1035 85.770 52.13
131.4697 85.866 50.97
131.8359 85.951 49.85
132.2022 86.031 48.75
132.5684 86.101 47.62
132.9346 86.153 46.50
133.3008 86.186 45.44
133.6670 86.209 44.54
134.0332 86.239 43.78
134.3994 86.288 43.07
134.7656 86.350 42.27
135.1318 86.401 41.32
135.4981 86.418 40.29
135.8643 86.391 39.39
136.2305 86.335 38.82
136.5967 86.284 38.66
136.9629 86.270 38.80
137.3291 86.304 39.03
137.6953 86.368 39.18
138.0615 86.436 39.25
138.4277 86.494 39.37
138.7940 86.550 39.70
139.1602 86.634 40.32
139.5264 86.776 41.11
139.8926 86.989 41.86
140.2588 87.262 42.35
140.6250 87.565 42.46
140.9912 87.874 42.22
141.3574 88.172 41.73
141.7236 88.457 41.10
142.0899 88.739 40.39
142.4561 89.027 39.60
142.8223 89.326 38.69
143.1885 89.635 37.59
143.5547 89.948 36.28
143.9209 90.257 34.74
144.2871 90.558 32.99
144.6533 90.845 31.03
145.0195 91.116 28.86
145.3858 91.362 26.49
145.7520 91.577 23.96
146.1182 91.752 21.31
146.4844 91.887 18.64
146.8506 91.986 16.04
147.2168 92.060 13.55
147.5830 92.123 11.18
147.9492 92.186 8.89
148.3154 92.254 6.60
148.6817 92.324 4.25
149.0479 92.388 1.79
149.4141 92.437 -0.79
149.7803 92.461 -3.46
150.1465 92.456 -6.16
150.5127 92.423 -8.84
150.8789 92.368 -11.44
151.2451 92.300 -13.96
151.6113 92.225 -16.42
151.9776 92.144 -18.88
152.3438 92.054 -21.37
152.7100 91.943 -23.90
153.0762 91.804 -26.42
153.4424 91.636 -28.83
153.8086 91.447 -31.07
154.1748 91.252 -33.10
154.5410 91.065 -34.96
154.9072 90.893 -36.75
155.2735 90.729 -38.53
155.6397 90.565 -40.35
156.0059 90.393 -42.15
156.3721 90.217 -43.87
156.7383 90.048 -45.51
157.1045 89.898 -47.13
157.4707 89.769 -48.85
157.8369 89.646 -50.80
158.2031 89.506 -53.00
