* Measurement data measured by REW V5.31.3
* Source: Umik-1  Gain: 18dB, no input selected, R, volume: no control. Timing signal peak level -34.3 dBFS, measurement signal peak level -29.1 dBFS
* Format: 128k Log Swept Sine, 1 sweep at -20.0 dBFS using an acoustic timing reference
* Dated: Apr 18, 2026 8:56:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0494 ms (-17 mm, -0.67 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset
* Measurement: L 4
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.3662 47.301 -155.01
0.7324 51.594 -171.55
1.0986 53.972 161.70
1.4648 55.298 131.34
1.8311 56.043 99.89
2.1973 56.410 69.59
2.5635 56.395 42.68
2.9297 55.911 21.26
3.2959 55.022 7.76
3.6621 54.309 3.97
4.0283 54.725 5.77
4.3945 56.085 4.15
4.7607 57.344 -3.26
5.1270 57.921 -14.15
5.4932 57.590 -26.35
5.8594 56.099 -38.23
6.2256 52.790 -47.04
6.5918 45.546 -35.68
6.9580 47.108 49.54
7.3242 54.384 54.38
7.6904 57.945 42.86
8.0566 59.570 27.91
8.4229 59.663 11.93
8.7891 58.037 -3.36
9.1553 53.612 -12.86
9.5215 45.232 36.24
9.8877 54.117 84.55
10.2539 58.693 73.72
10.6201 60.137 56.06
10.9863 59.571 36.16
11.3525 56.699 14.15
11.7188 48.831 -17.71
12.0850 47.691 -172.86
12.4512 56.671 153.60
12.8174 60.218 133.98
13.1836 61.744 118.30
13.5498 62.133 106.44
13.9160 61.946 99.06
14.2822 61.776 95.60
14.6484 62.013 92.58
15.0146 62.456 86.11
15.3809 62.636 74.99
15.7471 62.232 59.73
16.1133 61.088 40.66
16.4795 59.152 17.03
16.8457 56.590 -13.50
17.2119 54.246 -53.30
17.5781 53.381 -95.93
17.9443 53.372 -129.59
18.3105 52.730 -152.67
18.6768 50.614 -165.70
19.0430 46.599 -158.92
19.4092 46.073 -114.21
19.7754 51.140 -97.12
20.1416 54.597 -101.59
20.5078 56.462 -111.37
20.8740 57.125 -122.16
21.2402 56.741 -131.79
21.6064 55.361 -137.46
21.9727 53.293 -133.77
22.3389 52.302 -116.16
22.7051 54.127 -100.65
23.0713 56.645 -99.27
23.4375 58.520 -106.13
23.8037 59.650 -116.47
24.1699 60.123 -127.97
24.5361 59.997 -139.25
24.9023 59.274 -148.91
25.2686 57.927 -154.70
25.6348 56.162 -152.06
26.0010 55.360 -136.62
26.3672 57.255 -120.67
26.7334 60.183 -117.57
27.0996 62.615 -123.22
27.4658 64.282 -132.72
27.8320 65.200 -143.44
28.1982 65.409 -153.60
28.5645 64.964 -161.41
28.9307 64.042 -164.61
29.2969 63.177 -161.26
29.6631 63.185 -153.65
30.0293 64.113 -148.49
30.3955 65.180 -148.26
30.7617 65.886 -150.77
31.1279 66.185 -153.27
31.4941 66.293 -154.05
31.8604 66.531 -153.16
32.2266 67.052 -152.36
32.5928 67.702 -153.25
32.9590 68.227 -155.75
33.3252 68.505 -158.61
33.6914 68.594 -160.47
34.0576 68.696 -160.72
34.4238 69.009 -160.15
34.7900 69.543 -160.27
35.1563 70.114 -161.94
35.5225 70.535 -164.76
35.8887 70.725 -167.68
36.2549 70.731 -169.67
36.6211 70.693 -170.18
36.9873 70.768 -169.50
37.3535 71.025 -168.58
37.7197 71.404 -168.28
38.0859 71.792 -168.81
38.4522 72.113 -169.84
38.8184 72.359 -170.92
39.1846 72.562 -171.79
39.5508 72.768 -172.46
39.9170 72.994 -173.12
40.2832 73.222 -173.96
40.6494 73.420 -174.92
41.0156 73.568 -175.75
41.3818 73.686 -176.11
41.7481 73.828 -175.84
42.1143 74.050 -175.07
42.4805 74.368 -174.13
42.8467 74.750 -173.16
43.2129 75.172 -171.94
43.5791 75.679 -170.10
43.9453 76.392 -167.70
44.3115 77.398 -165.68
44.6777 78.642 -165.28
45.0439 79.948 -167.08
45.4102 81.147 -170.80
45.7764 82.148 -175.71
46.1426 82.936 178.93
46.5088 83.554 173.70
46.8750 84.066 168.86
47.2412 84.537 164.34
47.6074 84.993 159.86
47.9736 85.419 155.20
48.3398 85.780 150.32
48.7061 86.049 145.45
49.0723 86.234 140.89
49.4385 86.376 136.89
49.8047 86.533 133.44
50.1709 86.744 130.30
50.5371 87.010 127.15
50.9033 87.301 123.88
51.2695 87.594 120.58
51.6357 87.900 117.44
52.0020 88.260 114.49
52.3682 88.712 111.48
52.7344 89.255 108.01
53.1006 89.843 103.76
53.4668 90.417 98.74
53.8330 90.944 93.13
54.1992 91.427 87.18
54.5654 91.893 80.92
54.9316 92.364 74.17
55.2979 92.830 66.63
55.6641 93.244 58.07
56.0303 93.541 48.48
56.3965 93.664 38.10
56.7627 93.576 27.30
57.1289 93.268 16.56
57.4951 92.760 6.36
57.8613 92.104 -2.90
58.2275 91.377 -10.99
58.5938 90.667 -17.96
58.9600 90.037 -24.16
59.3262 89.506 -30.05
59.6924 89.051 -35.97
60.0586 88.640 -42.00
60.4248 88.258 -48.10
60.7910 87.911 -54.22
61.1572 87.615 -60.37
61.5234 87.387 -66.64
61.8897 87.246 -73.16
62.2559 87.214 -80.12
62.6221 87.302 -87.83
62.9883 87.498 -96.64
63.3545 87.754 -106.85
63.7207 88.000 -118.49
64.0869 88.168 -131.34
64.4531 88.204 -144.98
64.8193 88.081 -158.85
65.1856 87.793 -172.40
65.5518 87.361 174.92
65.9180 86.834 163.50
66.2842 86.279 153.53
66.6504 85.759 144.84
67.0166 85.305 137.05
67.3828 84.899 129.73
67.7490 84.488 122.69
68.1152 84.024 116.02
68.4815 83.484 109.95
68.8477 82.876 104.75
69.2139 82.228 100.60
69.5801 81.573 97.58
69.9463 80.945 95.75
70.3125 80.391 95.15
70.6787 79.975 95.66
71.0449 79.754 96.88
71.4111 79.735 98.18
71.7773 79.857 99.12
72.1436 80.051 99.69
72.5098 80.287 100.13
72.8760 80.585 100.65
73.2422 80.981 101.13
73.6084 81.478 101.23
73.9746 82.040 100.69
74.3408 82.615 99.50
74.7070 83.174 97.80
75.0732 83.714 95.76
75.4395 84.246 93.39
75.8057 84.770 90.62
76.1719 85.271 87.36
76.5381 85.723 83.62
76.9043 86.106 79.50
77.2705 86.409 75.17
77.6367 86.640 70.78
78.0029 86.810 66.43
78.3691 86.936 62.16
78.7354 87.029 57.94
79.1016 87.093 53.76
79.4678 87.130 49.59
79.8340 87.140 45.43
80.2002 87.124 41.26
80.5664 87.080 37.07
80.9326 87.002 32.85
81.2988 86.879 28.61
81.6650 86.702 24.41
82.0313 86.464 20.36
82.3975 86.167 16.61
82.7637 85.828 13.28
83.1299 85.474 10.44
83.4961 85.135 8.03
83.8623 84.831 5.86
84.2285 84.557 3.72
84.5947 84.290 1.44
84.9609 83.995 -0.96
85.3272 83.649 -3.33
85.6934 83.250 -5.48
86.0596 82.814 -7.25
86.4258 82.361 -8.59
86.7920 81.904 -9.53
87.1582 81.444 -10.04
87.5244 80.988 -9.98
87.8906 80.574 -9.22
88.2568 80.266 -7.82
88.6231 80.110 -6.23
88.9893 80.090 -5.03
89.3555 80.129 -4.55
89.7217 80.147 -4.62
90.0879 80.119 -4.79
90.4541 80.082 -4.73
90.8203 80.094 -4.49
91.1865 80.178 -4.48
91.5527 80.287 -5.06
91.9190 80.342 -6.18
92.2852 80.301 -7.39
92.6514 80.186 -8.15
93.0176 80.082 -8.22
93.3838 80.079 -7.89
93.7500 80.192 -7.87
94.1162 80.349 -8.63
94.4824 80.455 -10.11
94.8486 80.460 -11.82
95.2149 80.384 -13.23
95.5811 80.301 -14.11
95.9473 80.284 -14.67
96.3135 80.351 -15.41
96.6797 80.456 -16.70
97.0459 80.535 -18.54
97.4121 80.552 -20.64
97.7783 80.517 -22.70
98.1445 80.464 -24.59
98.5108 80.424 -26.43
98.8770 80.397 -28.40
99.2432 80.358 -30.61
99.6094 80.282 -32.99
99.9756 80.160 -35.38
100.3418 80.006 -37.66
100.7080 79.839 -39.83
101.0742 79.662 -42.00
101.4404 79.459 -44.25
101.8066 79.205 -46.52
102.1729 78.888 -48.60
102.5391 78.524 -50.24
102.9053 78.155 -51.33
103.2715 77.829 -51.98
103.6377 77.565 -52.49
104.0039 77.346 -53.15
104.3701 77.131 -54.05
104.7363 76.889 -55.06
105.1025 76.615 -55.95
105.4688 76.334 -56.55
105.8350 76.080 -56.86
106.2012 75.879 -57.04
106.5674 75.733 -57.32
106.9336 75.627 -57.84
107.2998 75.541 -58.68
107.6660 75.458 -59.87
108.0322 75.363 -61.41
108.3984 75.238 -63.31
108.7647 75.066 -65.56
109.1309 74.825 -68.10
109.4971 74.497 -70.86
109.8633 74.059 -73.74
110.2295 73.494 -76.60
110.5957 72.782 -79.21
110.9619 71.915 -81.33
111.3281 70.894 -82.61
111.6943 69.737 -82.75
112.0606 68.474 -81.47
112.4268 67.129 -78.49
112.7930 65.724 -73.38
113.1592 64.324 -65.29
113.5254 63.155 -53.17
113.8916 62.667 -37.33
114.2578 63.198 -21.05
114.6240 64.545 -8.09
114.9902 66.282 0.46
115.3565 68.135 5.08
115.7227 69.964 6.42
116.0889 71.671 5.04
116.4551 73.194 1.61
116.8213 74.505 -3.24
117.1875 75.613 -8.88
117.5537 76.555 -14.89
117.9199 77.386 -21.04
118.2861 78.154 -27.35
118.6524 78.884 -34.03
119.0186 79.569 -41.30
119.3848 80.172 -49.31
119.7510 80.653 -58.01
120.1172 80.977 -67.21
120.4834 81.131 -76.65
120.8496 81.123 -86.06
121.2158 80.978 -95.24
121.5820 80.737 -104.09
121.9483 80.439 -112.69
122.3145 80.112 -121.23
122.6807 79.761 -129.93
123.0469 79.373 -138.93
123.4131 78.929 -148.23
123.7793 78.423 -157.72
124.1455 77.864 -167.18
124.5117 77.284 -176.45
124.8779 76.728 174.54
125.2442 76.233 165.71
125.6104 75.821 156.88
125.9766 75.485 147.90
126.3428 75.202 138.67
126.7090 74.940 129.22
127.0752 74.674 119.66
127.4414 74.385 110.13
127.8076 74.063 100.78
128.1738 73.708 91.75
128.5400 73.329 83.19
128.9063 72.953 75.19
129.2725 72.613 67.69
129.6387 72.338 60.48
130.0049 72.128 53.23
130.3711 71.948 45.66
130.7373 71.741 37.70
131.1035 71.458 29.51
131.4697 71.076 21.39
131.8359 70.610 13.61
132.2022 70.100 6.24
132.5684 69.581 -0.97
132.9346 69.051 -8.48
133.3008 68.459 -16.71
133.6670 67.730 -25.86
134.0332 66.803 -35.89
134.3994 65.667 -46.68
134.7656 64.384 -58.34
135.1318 63.101 -71.38
135.4981 62.050 -86.77
135.8643 61.517 -105.15
136.2305 61.713 -125.54
136.5967 62.565 -145.45
136.9629 63.761 -162.83
137.3291 65.010 -176.96
137.6953 66.191 172.04
138.0615 67.318 163.66
138.4277 68.456 157.08
138.7940 69.632 151.31
139.1602 70.810 145.54
139.5264 71.916 139.43
139.8926 72.889 133.06
140.2588 73.707 126.73
140.6250 74.387 120.76
140.9912 74.973 115.34
141.3574 75.514 110.45
141.7236 76.045 105.90
142.0899 76.572 101.47
142.4561 77.080 97.01
142.8223 77.547 92.51
143.1885 77.963 88.10
143.5547 78.338 83.90
143.9209 78.695 79.95
144.2871 79.056 76.18
144.6533 79.429 72.42
145.0195 79.804 68.53
145.3858 80.160 64.45
145.7520 80.479 60.23
146.1182 80.755 55.98
146.4844 80.994 51.78
146.8506 81.209 47.66
147.2168 81.411 43.57
147.5830 81.598 39.43
147.9492 81.764 35.21
148.3154 81.896 30.91
148.6817 81.990 26.60
149.0479 82.048 22.35
149.4141 82.083 18.22
149.7803 82.107 14.18
150.1465 82.127 10.17
150.5127 82.142 6.11
150.8789 82.145 1.95
151.2451 82.127 -2.29
151.6113 82.085 -6.60
151.9776 82.020 -10.95
152.3438 81.933 -15.33
152.7100 81.821 -19.78
153.0762 81.677 -24.31
153.4424 81.491 -28.86
153.8086 81.255 -33.36
154.1748 80.974 -37.68
154.5410 80.662 -41.72
154.9072 80.340 -45.48
155.2735 80.025 -49.04
155.6397 79.720 -52.51
156.0059 79.417 -55.96
