* Measurement data measured by REW V5.31.3
* Source: Umik-1  Gain: 18dB, no input selected, R, volume: no control. Timing signal peak level -35.0 dBFS, measurement signal peak level -25.8 dBFS
* Format: 128k Log Swept Sine, 1 sweep at -20.0 dBFS using an acoustic timing reference
* Dated: Apr 18, 2026 9:06:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0424 ms (-15 mm, -0.57 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset
* Measurement: R + Sub 3
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.3662 55.143 132.16
0.7324 56.437 96.12
1.0986 57.050 71.44
1.4648 57.066 56.65
1.8311 57.329 49.47
2.1973 58.411 42.05
2.5635 59.663 27.63
2.9297 60.309 5.60
3.2959 60.073 -23.49
3.6621 59.077 -60.67
4.0283 58.009 -107.40
4.3945 57.886 -159.22
4.7607 58.421 152.61
5.1270 58.469 108.59
5.4932 57.518 62.75
5.8594 56.241 6.73
6.2256 57.013 -56.43
6.5918 59.428 -107.03
6.9580 61.187 -144.76
7.3242 61.618 -175.44
7.6904 60.478 159.19
8.0566 57.294 143.29
8.4229 53.103 160.94
8.7891 57.132 -172.50
9.1553 61.733 173.48
9.5215 64.448 147.10
9.8877 65.938 116.41
10.2539 66.227 84.13
10.6201 65.275 52.08
10.9863 62.558 22.12
11.3525 54.556 2.46
11.7188 56.349 121.00
12.0850 66.076 103.27
12.4512 70.688 79.27
12.8174 73.320 55.93
13.1836 74.660 34.75
13.5498 74.967 17.48
13.9160 74.540 7.32
14.2822 74.359 7.69
14.6484 75.956 12.29
15.0146 78.761 8.61
15.3809 81.362 -3.53
15.7471 83.310 -20.11
16.1133 84.585 -38.57
16.4795 85.231 -57.47
16.8457 85.289 -75.81
17.2119 84.783 -92.60
17.5781 83.755 -106.60
17.9443 82.333 -116.07
18.3105 80.914 -119.25
18.6768 80.206 -117.14
19.0430 80.501 -115.31
19.4092 81.217 -117.73
19.7754 81.751 -123.55
20.1416 81.878 -130.40
20.5078 81.628 -136.05
20.8740 81.228 -138.82
21.2402 81.086 -138.52
21.6064 81.515 -137.59
21.9727 82.365 -139.23
22.3389 83.211 -144.32
22.7051 83.739 -151.74
23.0713 83.817 -159.78
23.4375 83.456 -166.55
23.8037 82.836 -170.18
24.1699 82.386 -169.78
24.5361 82.581 -167.51
24.9023 83.381 -167.50
25.2686 84.293 -171.45
25.6348 84.934 -178.26
26.0010 85.165 173.87
26.3672 85.004 166.55
26.7334 84.575 160.99
27.0996 84.089 157.79
27.4658 83.765 156.43
27.8320 83.689 155.58
28.1982 83.767 154.18
28.5645 83.866 152.17
28.9307 83.934 150.07
29.2969 84.015 148.21
29.6631 84.170 146.41
30.0293 84.403 144.13
30.3955 84.646 141.01
30.7617 84.811 137.07
31.1279 84.839 132.72
31.4941 84.720 128.42
31.8604 84.480 124.55
32.2266 84.164 121.30
32.5928 83.817 118.70
32.9590 83.475 116.64
33.3252 83.160 114.92
33.6914 82.872 113.32
34.0576 82.592 111.69
34.4238 82.285 110.00
34.7900 81.921 108.40
35.1563 81.496 107.21
35.5225 81.044 106.73
35.8887 80.627 107.03
36.2549 80.300 107.86
36.6211 80.071 108.76
36.9873 79.892 109.48
37.3535 79.707 110.10
37.7197 79.499 110.98
38.0859 79.302 112.45
38.4522 79.182 114.52
38.8184 79.186 116.91
39.1846 79.314 119.17
39.5508 79.530 121.04
39.9170 79.793 122.50
40.2832 80.083 123.63
40.6494 80.399 124.49
41.0156 80.741 125.02
41.3818 81.100 125.16
41.7481 81.455 124.84
42.1143 81.784 124.09
42.4805 82.069 123.00
42.8467 82.300 121.65
43.2129 82.470 120.13
43.5791 82.569 118.52
43.9453 82.587 116.92
44.3115 82.513 115.49
44.6777 82.344 114.43
45.0439 82.084 114.02
45.4102 81.756 114.54
45.7764 81.398 116.29
46.1426 81.080 119.53
46.5088 80.912 124.31
46.8750 81.025 130.21
47.2412 81.495 136.14
47.6074 82.267 140.88
47.9736 83.187 143.79
48.3398 84.105 145.00
48.7061 84.936 145.05
49.0723 85.664 144.50
49.4385 86.317 143.73
49.8047 86.929 142.84
50.1709 87.522 141.78
50.5371 88.095 140.49
50.9033 88.636 139.03
51.2695 89.151 137.57
51.6357 89.669 136.24
52.0020 90.239 135.00
52.3682 90.892 133.58
52.7344 91.625 131.61
53.1006 92.400 128.87
53.4668 93.172 125.35
53.8330 93.914 121.19
54.1992 94.625 116.53
54.5654 95.313 111.39
54.9316 95.977 105.64
55.2979 96.594 99.16
55.6641 97.117 91.87
56.0303 97.494 83.89
56.3965 97.678 75.49
56.7627 97.641 67.06
57.1289 97.379 59.07
57.4951 96.919 51.98
57.8613 96.320 46.19
58.2275 95.671 41.81
58.5938 95.057 38.65
58.9600 94.522 36.20
59.3262 94.049 34.00
59.6924 93.591 31.91
60.0586 93.123 30.10
60.4248 92.667 28.77
60.7910 92.269 27.87
61.1572 91.954 27.04
61.5234 91.689 25.97
61.8897 91.415 24.67
62.2559 91.102 23.55
62.6221 90.796 23.10
62.9883 90.609 23.37
63.3545 90.635 23.74
63.7207 90.858 23.18
64.0869 91.155 21.12
64.4531 91.387 17.67
64.8193 91.474 13.37
65.1856 91.398 8.88
65.5518 91.192 4.67
65.9180 90.913 0.94
66.2842 90.611 -2.37
66.6504 90.307 -5.49
67.0166 89.991 -8.62
67.3828 89.641 -11.83
67.7490 89.237 -15.10
68.1152 88.771 -18.36
68.4815 88.240 -21.62
68.8477 87.629 -24.86
69.2139 86.918 -28.06
69.5801 86.083 -31.05
69.9463 85.113 -33.58
70.3125 84.022 -35.35
70.6787 82.838 -36.20
71.0449 81.584 -36.13
71.4111 80.247 -35.21
71.7773 78.755 -33.29
72.1436 77.002 -29.45
72.5098 74.954 -21.32
72.8760 73.034 -4.90
73.2422 72.652 19.62
73.6084 74.361 39.84
73.9746 76.687 49.85
74.3408 78.764 53.21
74.7070 80.462 53.12
75.0732 81.834 51.20
75.4395 82.947 48.22
75.8057 83.848 44.53
76.1719 84.562 40.34
76.5381 85.098 35.82
76.9043 85.462 31.16
77.2705 85.666 26.60
77.6367 85.733 22.36
78.0029 85.701 18.60
78.3691 85.610 15.34
78.7354 85.493 12.45
79.1016 85.358 9.79
79.4678 85.195 7.28
79.8340 84.993 5.01
80.2002 84.763 3.17
80.5664 84.546 1.90
80.9326 84.404 1.11
81.2988 84.382 0.40
81.6650 84.473 -0.79
82.0313 84.622 -2.86
82.3975 84.750 -5.93
82.7637 84.791 -9.86
83.1299 84.703 -14.38
83.4961 84.463 -19.22
83.8623 84.060 -24.13
84.2285 83.490 -28.86
84.5947 82.754 -33.18
84.9609 81.861 -36.82
85.3272 80.840 -39.53
85.6934 79.739 -41.17
86.0596 78.614 -41.87
86.4258 77.494 -42.04
86.7920 76.337 -42.27
87.1582 75.016 -42.93
87.5244 73.316 -43.94
87.8906 70.918 -44.39
88.2568 67.225 -41.36
88.6231 61.074 -20.31
88.9893 60.490 55.87
89.3555 67.056 80.77
89.7217 71.142 84.04
90.0879 73.893 82.80
90.4541 75.918 80.07
90.8203 77.496 76.73
91.1865 78.773 73.10
91.5527 79.837 69.33
91.9190 80.744 65.47
92.2852 81.529 61.50
92.6514 82.210 57.41
93.0176 82.797 53.20
93.3838 83.293 48.88
93.7500 83.698 44.51
94.1162 84.015 40.16
94.4824 84.250 35.93
94.8486 84.414 31.88
95.2149 84.525 28.08
95.5811 84.600 24.52
95.9473 84.656 21.14
96.3135 84.703 17.84
96.6797 84.738 14.51
97.0459 84.751 11.06
97.4121 84.726 7.50
97.7783 84.651 3.86
98.1445 84.523 0.26
98.5108 84.347 -3.24
98.8770 84.133 -6.58
99.2432 83.892 -9.79
99.6094 83.628 -12.89
99.9756 83.338 -15.91
100.3418 83.021 -18.81
100.7080 82.683 -21.54
101.0742 82.339 -24.06
101.4404 82.014 -26.42
101.8066 81.722 -28.82
102.1729 81.464 -31.48
102.5391 81.216 -34.61
102.9053 80.942 -38.30
103.2715 80.610 -42.51
103.6377 80.202 -47.11
104.0039 79.716 -51.99
104.3701 79.164 -57.10
104.7363 78.557 -62.51
105.1025 77.899 -68.35
105.4688 77.182 -74.76
105.8350 76.394 -81.79
106.2012 75.538 -89.41
106.5674 74.646 -97.53
106.9336 73.789 -106.11
107.2998 73.071 -115.25
107.6660 72.594 -125.17
108.0322 72.420 -136.01
108.3984 72.542 -147.61
108.7647 72.897 -159.45
109.1309 73.401 -170.84
109.4971 73.981 178.81
109.8633 74.598 169.79
110.2295 75.243 162.11
110.5957 75.909 155.49
110.9619 76.572 149.58
111.3281 77.192 144.17
111.6943 77.731 139.25
112.0606 78.178 135.00
112.4268 78.555 131.61
112.7930 78.916 129.14
113.1592 79.311 127.38
113.5254 79.761 125.94
113.8916 80.245 124.52
114.2578 80.727 123.04
114.6240 81.186 121.63
114.9902 81.635 120.46
115.3565 82.104 119.57
115.7227 82.624 118.81
116.0889 83.202 117.92
116.4551 83.820 116.71
116.8213 84.451 115.14
117.1875 85.081 113.25
117.5537 85.707 111.09
117.9199 86.334 108.66
118.2861 86.961 105.89
118.6524 87.577 102.69
119.0186 88.165 99.04
119.3848 88.705 94.96
119.7510 89.182 90.52
120.1172 89.585 85.79
120.4834 89.908 80.87
120.8496 90.145 75.85
121.2158 90.293 70.80
121.5820 90.351 65.84
121.9483 90.324 61.09
122.3145 90.223 56.64
122.6807 90.063 52.55
123.0469 89.861 48.83
123.4131 89.629 45.45
123.7793 89.371 42.35
124.1455 89.087 39.51
124.5117 88.773 36.95
124.8779 88.433 34.74
125.2442 88.078 32.91
125.6104 87.722 31.45
125.9766 87.373 30.32
126.3428 87.030 29.44
126.7090 86.685 28.82
127.0752 86.335 28.54
127.4414 85.990 28.72
127.8076 85.676 29.42
128.1738 85.425 30.60
128.5400 85.260 32.05
128.9063 85.183 33.55
129.2725 85.176 34.92
129.6387 85.219 36.11
130.0049 85.295 37.13
130.3711 85.400 38.00
130.7373 85.531 38.72
131.1035 85.685 39.28
131.4697 85.859 39.66
131.8359 86.048 39.83
132.2022 86.245 39.77
132.5684 86.441 39.48
132.9346 86.628 38.97
133.3008 86.800 38.30
133.6670 86.955 37.51
134.0332 87.098 36.66
134.3994 87.237 35.72
134.7656 87.369 34.65
135.1318 87.489 33.42
135.4981 87.582 32.03
135.8643 87.638 30.56
136.2305 87.656 29.14
136.5967 87.648 27.85
136.9629 87.629 26.72
137.3291 87.610 25.70
137.6953 87.591 24.71
138.0615 87.564 23.73
138.4277 87.520 22.77
138.7940 87.455 21.91
139.1602 87.374 21.24
139.5264 87.289 20.80
139.8926 87.214 20.57
140.2588 87.157 20.51
140.6250 87.124 20.57
140.9912 87.115 20.68
141.3574 87.127 20.82
141.7236 87.159 20.95
142.0899 87.207 21.08
142.4561 87.273 21.21
142.8223 87.362 21.37
143.1885 87.484 21.51
143.5547 87.645 21.53
143.9209 87.841 21.33
144.2871 88.057 20.80
144.6533 88.271 19.93
145.0195 88.466 18.78
145.3858 88.632 17.43
145.7520 88.765 16.00
146.1182 88.870 14.56
146.4844 88.954 13.16
146.8506 89.025 11.85
147.2168 89.092 10.62
147.5830 89.166 9.45
147.9492 89.250 8.27
148.3154 89.342 6.99
148.6817 89.431 5.58
149.0479 89.506 4.03
149.4141 89.559 2.41
149.7803 89.591 0.77
150.1465 89.608 -0.87
150.5127 89.614 -2.54
150.8789 89.604 -4.26
151.2451 89.570 -6.04
151.6113 89.505 -7.81
151.9776 89.407 -9.48
152.3438 89.285 -10.97
152.7100 89.154 -12.23
153.0762 89.026 -13.27
153.4424 88.907 -14.10
153.8086 88.805 -14.72
154.1748 88.735 -15.13
154.5410 88.716 -15.37
154.9072 88.762 -15.61
155.2735 88.871 -16.07
155.6397 89.017 -16.90
156.0059 89.171 -18.12
156.3721 89.311 -19.64
156.7383 89.434 -21.33
157.1045 89.548 -23.15
157.4707 89.660 -25.16
157.8369 89.763 -27.44
158.2031 89.835 -30.04
158.5693 89.853 -32.88
158.9356 89.805 -35.79
