* Measurement data measured by REW V5.31.3
* Source: Umik-1  Gain: 18dB, no input selected, R, volume: no control. Timing signal peak level -34.5 dBFS, measurement signal peak level -29.8 dBFS
* Format: 128k Log Swept Sine, 1 sweep at -20.0 dBFS using an acoustic timing reference
* Dated: Apr 18, 2026 9:01:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0341 ms (-12 mm, -0.46 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset
* Measurement: R 2
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.3662 46.124 -169.83
0.7324 48.783 -174.31
1.0986 50.829 172.77
1.4648 52.004 156.93
1.8311 52.236 141.08
2.1973 51.381 127.95
2.5635 49.301 123.35
2.9297 47.408 139.79
3.2959 49.963 161.59
3.6621 53.776 160.45
4.0283 56.373 147.68
4.3945 57.739 130.56
4.7607 57.998 111.82
5.1270 57.161 93.03
5.4932 55.143 76.15
5.8594 51.939 65.52
6.2256 48.835 68.40
6.5918 48.973 70.92
6.9580 50.994 48.48
7.3242 53.828 9.81
7.6904 57.360 -28.98
8.0566 60.597 -61.72
8.4229 62.982 -89.64
8.7891 64.398 -114.41
9.1553 64.827 -136.79
9.5215 64.212 -156.75
9.8877 62.396 -173.26
10.2539 58.840 177.08
10.6201 53.747 -174.67
10.9863 51.548 -141.36
11.3525 52.609 -124.76
11.7188 51.848 -117.15
12.0850 50.196 -89.92
12.4512 53.754 -57.34
12.8174 58.201 -54.38
13.1836 60.929 -63.54
13.5498 62.186 -76.69
13.9160 62.141 -91.15
14.2822 60.691 -105.39
14.6484 57.217 -116.77
15.0146 49.428 -108.15
15.3809 50.930 -20.59
15.7471 58.011 -18.70
16.1133 61.322 -31.92
16.4795 62.884 -48.15
16.8457 63.314 -65.39
17.2119 62.848 -82.80
17.5781 61.585 -99.43
17.9443 59.586 -113.58
18.3105 57.065 -121.90
18.6768 54.951 -120.44
19.0430 54.801 -114.75
19.4092 56.030 -117.23
19.7754 57.063 -127.61
20.1416 57.262 -140.95
20.5078 56.355 -153.18
20.8740 54.063 -158.82
21.2402 50.939 -144.19
21.6064 52.108 -110.89
21.9727 55.987 -101.66
22.3389 58.602 -106.20
22.7051 59.920 -113.79
23.0713 60.270 -120.27
23.4375 60.006 -123.24
23.8037 59.631 -121.67
24.1699 59.635 -117.38
24.5361 60.023 -113.78
24.9023 60.424 -111.78
25.2686 60.678 -109.62
25.6348 61.034 -105.81
26.0010 61.861 -101.74
26.3672 63.096 -100.53
26.7334 64.304 -103.20
27.0996 65.153 -108.26
27.4658 65.557 -113.49
27.8320 65.644 -116.73
28.1982 65.760 -116.84
28.5645 66.301 -115.01
28.9307 67.307 -114.24
29.2969 68.436 -116.05
29.6631 69.380 -119.64
30.0293 70.051 -123.40
30.3955 70.551 -126.08
30.7617 71.076 -127.46
31.1279 71.761 -128.46
31.4941 72.562 -130.32
31.8604 73.315 -133.44
32.2266 73.889 -137.34
32.5928 74.253 -141.14
32.9590 74.474 -144.12
33.3252 74.670 -146.12
33.6914 74.937 -147.55
34.0576 75.281 -149.07
34.4238 75.639 -151.00
34.7900 75.949 -153.18
35.1563 76.207 -155.19
35.5225 76.463 -156.78
35.8887 76.779 -158.06
36.2549 77.177 -159.46
36.6211 77.621 -161.30
36.9873 78.050 -163.64
37.3535 78.422 -166.21
37.7197 78.733 -168.64
38.0859 79.022 -170.69
38.4522 79.340 -172.36
38.8184 79.722 -173.90
39.1846 80.165 -175.65
39.5508 80.631 -177.84
39.9170 81.075 179.54
40.2832 81.468 176.70
40.6494 81.808 173.86
41.0156 82.121 171.20
41.3818 82.440 168.70
41.7481 82.784 166.19
42.1143 83.147 163.48
42.4805 83.504 160.46
42.8467 83.827 157.19
43.2129 84.105 153.80
43.5791 84.342 150.45
43.9453 84.552 147.18
44.3115 84.743 143.97
44.6777 84.913 140.76
45.0439 85.051 137.55
45.4102 85.144 134.44
45.7764 85.191 131.53
46.1426 85.202 128.98
46.5088 85.197 126.86
46.8750 85.199 125.19
47.2412 85.229 123.93
47.6074 85.308 122.98
47.9736 85.444 122.21
48.3398 85.639 121.48
48.7061 85.883 120.70
49.0723 86.169 119.84
49.4385 86.498 118.91
49.8047 86.876 117.86
50.1709 87.305 116.59
50.5371 87.773 114.99
50.9033 88.258 113.05
51.2695 88.746 110.86
51.6357 89.246 108.58
52.0020 89.784 106.21
52.3682 90.385 103.56
52.7344 91.042 100.34
53.1006 91.716 96.35
53.4668 92.357 91.58
53.8330 92.932 86.25
54.1992 93.441 80.59
54.5654 93.907 74.71
54.9316 94.354 68.53
55.2979 94.787 61.78
55.6641 95.172 54.23
56.0303 95.451 45.78
56.3965 95.562 36.60
56.7627 95.458 27.00
57.1289 95.115 17.44
57.4951 94.539 8.44
57.8613 93.769 0.48
58.2275 92.879 -6.09
58.5938 91.963 -11.26
58.9600 91.096 -15.37
59.3262 90.291 -18.97
59.6924 89.497 -22.41
60.0586 88.644 -25.58
60.4248 87.707 -28.03
60.7910 86.725 -29.24
61.1572 85.789 -29.10
61.5234 84.963 -27.96
61.8897 84.224 -26.21
62.2559 83.512 -23.58
62.6221 82.877 -19.09
62.9883 82.598 -12.24
63.3545 83.008 -4.92
63.7207 84.031 -0.54
64.0869 85.237 -0.54
64.4531 86.277 -4.12
64.8193 87.007 -9.83
65.1856 87.405 -16.49
65.5518 87.514 -23.19
65.9180 87.404 -29.35
66.2842 87.162 -34.68
66.6504 86.873 -39.22
67.0166 86.589 -43.24
67.3828 86.319 -47.06
67.7490 86.040 -50.88
68.1152 85.723 -54.66
68.4815 85.359 -58.26
68.8477 84.958 -61.53
69.2139 84.542 -64.40
69.5801 84.132 -66.92
69.9463 83.734 -69.16
70.3125 83.353 -71.15
70.6787 82.997 -72.90
71.0449 82.683 -74.45
71.4111 82.424 -75.94
71.7773 82.219 -77.59
72.1436 82.047 -79.56
72.5098 81.876 -81.93
72.8760 81.672 -84.62
73.2422 81.415 -87.51
73.6084 81.091 -90.40
73.9746 80.701 -93.08
74.3408 80.256 -95.33
74.7070 79.787 -96.97
75.0732 79.343 -97.93
75.4395 78.971 -98.38
75.8057 78.693 -98.66
76.1719 78.491 -99.09
76.5381 78.324 -99.80
76.9043 78.162 -100.67
77.2705 78.009 -101.54
77.6367 77.894 -102.39
78.0029 77.839 -103.42
78.3691 77.830 -104.94
78.7354 77.821 -107.07
79.1016 77.767 -109.69
79.4678 77.648 -112.46
79.8340 77.486 -115.07
80.2002 77.328 -117.39
80.5664 77.212 -119.50
80.9326 77.143 -121.57
81.2988 77.100 -123.55
81.6650 77.081 -125.12
82.0313 77.150 -125.87
82.3975 77.439 -125.85
82.7637 78.057 -125.93
83.1299 78.977 -127.46
83.4961 80.036 -131.24
83.8623 81.053 -137.26
84.2285 81.904 -144.97
84.5947 82.532 -153.73
84.9609 82.922 -162.93
85.3272 83.089 -172.10
85.6934 83.064 179.13
86.0596 82.889 170.99
86.4258 82.610 163.64
86.7920 82.273 157.12
87.1582 81.924 151.40
87.5244 81.605 146.35
87.8906 81.349 141.77
88.2568 81.172 137.37
88.6231 81.060 132.88
88.9893 80.978 128.14
89.3555 80.882 123.21
89.7217 80.746 118.36
90.0879 80.578 113.92
90.4541 80.423 110.12
90.8203 80.343 106.90
91.1865 80.377 103.88
91.5527 80.516 100.60
91.9190 80.703 96.77
92.2852 80.878 92.39
92.6514 81.005 87.66
93.0176 81.075 82.79
93.3838 81.100 77.91
93.7500 81.090 73.02
94.1162 81.042 68.08
94.4824 80.943 63.10
94.8486 80.783 58.22
95.2149 80.566 53.62
95.5811 80.315 49.43
95.9473 80.061 45.67
96.3135 79.825 42.24
96.6797 79.606 39.02
97.0459 79.390 36.00
97.4121 79.170 33.30
97.7783 78.965 31.11
98.1445 78.821 29.45
98.5108 78.785 28.11
98.8770 78.870 26.63
99.2432 79.041 24.63
99.6094 79.237 21.96
99.9756 79.410 18.73
100.3418 79.540 15.17
100.7080 79.633 11.44
101.0742 79.707 7.59
101.4404 79.776 3.54
101.8066 79.836 -0.84
102.1729 79.870 -5.62
102.5391 79.860 -10.78
102.9053 79.789 -16.23
103.2715 79.656 -21.84
103.6377 79.468 -27.51
104.0039 79.237 -33.18
104.3701 78.971 -38.86
104.7363 78.675 -44.57
105.1025 78.345 -50.32
105.4688 77.973 -56.08
105.8350 77.559 -61.78
106.2012 77.107 -67.34
106.5674 76.630 -72.73
106.9336 76.141 -77.98
107.2998 75.647 -83.19
107.6660 75.144 -88.43
108.0322 74.621 -93.74
108.3984 74.073 -99.06
108.7647 73.505 -104.32
109.1309 72.939 -109.41
109.4971 72.408 -114.35
109.8633 71.942 -119.24
110.2295 71.562 -124.23
110.5957 71.269 -129.47
110.9619 71.053 -134.97
111.3281 70.905 -140.67
111.6943 70.819 -146.42
112.0606 70.795 -152.04
112.4268 70.837 -157.40
112.7930 70.948 -162.37
113.1592 71.132 -166.89
113.5254 71.396 -170.91
113.8916 71.752 -174.43
114.2578 72.216 -177.57
114.6240 72.794 179.45
114.9902 73.477 176.36
115.3565 74.236 172.94
115.7227 75.030 169.08
116.0889 75.825 164.82
116.4551 76.601 160.30
116.8213 77.360 155.62
117.1875 78.113 150.85
117.5537 78.875 145.92
117.9199 79.649 140.68
118.2861 80.421 135.00
118.6524 81.166 128.81
119.0186 81.858 122.11
119.3848 82.475 114.99
119.7510 83.003 107.56
120.1172 83.436 99.92
120.4834 83.772 92.18
120.8496 84.011 84.41
121.2158 84.151 76.67
121.5820 84.191 69.04
121.9483 84.132 61.60
122.3145 83.977 54.46
122.6807 83.736 47.72
123.0469 83.423 41.44
123.4131 83.052 35.66
123.7793 82.638 30.38
124.1455 82.192 25.58
124.5117 81.718 21.27
124.8779 81.222 17.45
125.2442 80.715 14.19
125.6104 80.215 11.51
125.9766 79.748 9.38
126.3428 79.338 7.65
126.7090 78.992 6.11
127.0752 78.695 4.57
127.4414 78.422 2.93
127.8076 78.147 1.24
128.1738 77.862 -0.36
128.5400 77.576 -1.78
128.9063 77.305 -3.01
129.2725 77.058 -4.12
129.6387 76.832 -5.18
130.0049 76.620 -6.21
130.3711 76.424 -7.16
130.7373 76.256 -8.04
131.1035 76.131 -8.95
131.4697 76.047 -10.12
131.8359 75.971 -11.71
132.2022 75.860 -13.71
132.5684 75.679 -15.88
132.9346 75.430 -17.89
133.3008 75.147 -19.50
133.6670 74.884 -20.71
134.0332 74.676 -21.78
134.3994 74.515 -23.04
134.7656 74.358 -24.64
135.1318 74.166 -26.45
135.4981 73.930 -28.17
135.8643 73.687 -29.54
136.2305 73.498 -30.61
136.5967 73.404 -31.72
136.9629 73.397 -33.36
137.3291 73.424 -35.83
137.6953 73.420 -39.12
138.0615 73.343 -43.02
138.4277 73.182 -47.25
138.7940 72.954 -51.60
139.1602 72.688 -56.00
139.5264 72.408 -60.56
139.8926 72.126 -65.46
140.2588 71.831 -70.90
140.6250 71.500 -77.02
140.9912 71.108 -83.86
141.3574 70.636 -91.35
141.7236 70.082 -99.40
142.0899 69.462 -107.84
142.4561 68.818 -116.57
142.8223 68.213 -125.47
143.1885 67.729 -134.52
143.5547 67.445 -143.76
143.9209 67.419 -153.25
144.2871 67.660 -163.02
144.6533 68.134 -172.99
145.0195 68.774 177.04
145.3858 69.507 167.25
145.7520 70.272 157.84
146.1182 71.024 148.92
146.4844 71.739 140.54
146.8506 72.402 132.69
147.2168 73.005 125.33
147.5830 73.544 118.42
147.9492 74.014 111.92
148.3154 74.417 105.85
148.6817 74.758 100.24
149.0479 75.050 95.12
149.4141 75.311 90.48
149.7803 75.563 86.27
150.1465 75.821 82.39
150.5127 76.090 78.69
150.8789 76.363 75.06
151.2451 76.627 71.44
151.6113 76.867 67.88
151.9776 77.080 64.47
152.3438 77.274 61.31
152.7100 77.468 58.46
153.0762 77.689 55.88
153.4424 77.957 53.40
153.8086 78.277 50.81
154.1748 78.636 47.88
154.5410 79.002 44.45
154.9072 79.341 40.51
155.2735 79.620 36.11
155.6397 79.817 31.41
156.0059 79.922 26.60
