* Measurement data measured by REW V5.31.3
* Source: Umik-1  Gain: 18dB, no input selected, R, volume: no control. Timing signal peak level -35.0 dBFS, measurement signal peak level -28.2 dBFS
* Format: 128k Log Swept Sine, 1 sweep at -20.0 dBFS using an acoustic timing reference
* Dated: Apr 18, 2026 9:09:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -1.3782 ms (-473 mm, -(1 ft 6.61 in)) using IR start time relative to Acoustic reference played from  L with no timing offset
* Measurement: Sub Only 1
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.3662 52.630 -174.48
0.7324 52.354 -178.21
1.0986 50.479 158.36
1.4648 50.235 92.08
1.8311 56.762 40.00
2.1973 61.811 13.81
2.5635 64.768 -5.95
2.9297 65.990 -23.26
3.2959 65.458 -38.05
3.6621 62.658 -46.49
4.0283 57.040 -25.66
4.3945 59.835 30.18
4.7607 64.629 34.61
5.1270 66.357 27.71
5.4932 65.727 24.01
5.8594 63.669 38.09
6.2256 65.252 70.74
6.5918 69.534 79.81
6.9580 72.447 73.51
7.3242 73.854 62.71
7.6904 73.966 51.62
8.0566 72.889 43.44
8.4229 70.869 43.31
8.7891 69.382 56.95
9.1553 70.554 71.59
9.5215 72.598 71.64
9.8877 73.811 61.70
10.2539 73.615 46.93
10.6201 71.917 30.03
10.9863 68.378 13.82
11.3525 60.879 12.20
11.7188 60.434 95.25
12.0850 68.206 93.19
12.4512 71.971 72.92
12.8174 73.995 50.02
13.1836 74.885 27.60
13.5498 74.790 7.96
13.9160 73.754 -5.15
14.2822 72.446 -4.68
14.6484 73.450 7.83
15.0146 76.812 9.65
15.3809 79.957 -1.15
15.7471 82.241 -17.60
16.1133 83.716 -36.17
16.4795 84.484 -55.23
16.8457 84.613 -73.74
17.2119 84.147 -90.72
17.5781 83.135 -104.92
17.9443 81.718 -114.55
18.3105 80.312 -117.81
18.6768 79.653 -115.77
19.0430 80.029 -114.26
19.4092 80.820 -117.24
19.7754 81.416 -123.72
20.1416 81.592 -131.28
20.5078 81.375 -137.68
20.8740 80.973 -141.21
21.2402 80.783 -141.47
21.6064 81.152 -140.65
21.9727 81.978 -142.08
22.3389 82.841 -146.95
22.7051 83.405 -154.27
23.0713 83.523 -162.33
23.4375 83.194 -169.24
23.8037 82.587 -173.08
24.1699 82.123 -172.83
24.5361 82.307 -170.47
24.9023 83.140 -170.28
25.2686 84.129 -174.20
25.6348 84.869 178.75
26.0010 85.208 170.36
26.3672 85.149 162.21
26.7334 84.791 155.55
27.0996 84.319 151.14
27.4658 83.957 148.84
27.8320 83.847 147.49
28.1982 83.952 145.79
28.5645 84.128 143.24
28.9307 84.263 140.16
29.2969 84.341 137.15
29.6631 84.416 134.49
30.0293 84.549 132.03
30.3955 84.760 129.30
30.7617 85.005 125.89
31.1279 85.210 121.66
31.4941 85.308 116.82
31.8604 85.263 111.73
32.2266 85.078 106.84
32.5928 84.785 102.49
32.9590 84.446 98.87
33.3252 84.125 95.89
33.6914 83.861 93.22
34.0576 83.650 90.51
34.4238 83.456 87.56
34.7900 83.240 84.45
35.1563 82.992 81.37
35.5225 82.726 78.50
35.8887 82.467 75.87
36.2549 82.229 73.38
36.6211 82.005 70.90
36.9873 81.779 68.44
37.3535 81.541 66.07
37.7197 81.293 63.89
38.0859 81.050 61.93
38.4522 80.817 60.11
38.8184 80.592 58.37
39.1846 80.367 56.71
39.5508 80.142 55.17
39.9170 79.929 53.76
40.2832 79.741 52.41
40.6494 79.584 51.00
41.0156 79.454 49.40
41.3818 79.346 47.56
41.7481 79.262 45.41
42.1143 79.207 42.84
42.4805 79.174 39.68
42.8467 79.145 35.76
43.2129 79.092 31.00
43.5791 78.992 25.43
43.9453 78.835 19.10
44.3115 78.625 12.05
44.6777 78.374 4.20
45.0439 78.091 -4.58
45.4102 77.786 -14.40
45.7764 77.467 -25.36
46.1426 77.159 -37.37
46.5088 76.899 -50.25
46.8750 76.739 -63.60
47.2412 76.723 -76.95
47.6074 76.869 -89.77
47.9736 77.158 -101.64
48.3398 77.545 -112.27
48.7061 77.980 -121.45
49.0723 78.430 -129.06
49.4385 78.898 -135.03
49.8047 79.418 -139.51
50.1709 80.029 -142.89
50.5371 80.736 -145.73
50.9033 81.502 -148.46
51.2695 82.282 -151.21
51.6357 83.061 -153.83
52.0020 83.871 -156.24
52.3682 84.766 -158.64
52.7344 85.767 -161.51
53.1006 86.839 -165.35
53.4668 87.910 -170.34
53.8330 88.917 -176.35
54.1992 89.831 176.94
54.5654 90.657 169.80
54.9316 91.416 162.35
55.2979 92.121 154.55
55.6641 92.761 146.28
56.0303 93.305 137.51
56.3965 93.708 128.32
56.7627 93.935 119.00
57.1289 93.968 109.90
57.4951 93.815 101.44
57.8613 93.515 93.98
58.2275 93.132 87.71
58.5938 92.736 82.55
58.9600 92.377 78.16
59.3262 92.059 74.12
59.6924 91.749 70.16
60.0586 91.410 66.29
60.4248 91.029 62.65
60.7910 90.621 59.35
61.1572 90.210 56.36
61.5234 89.808 53.51
61.8897 89.400 50.63
62.2559 88.952 47.72
62.6221 88.440 44.96
62.9883 87.866 42.68
63.3545 87.263 41.14
63.7207 86.691 40.46
64.0869 86.208 40.51
64.4531 85.852 40.98
64.8193 85.632 41.49
65.1856 85.527 41.72
65.5518 85.500 41.44
65.9180 85.504 40.59
66.2842 85.499 39.20
66.6504 85.456 37.41
67.0166 85.359 35.36
67.3828 85.201 33.13
67.7490 84.973 30.76
68.1152 84.654 28.28
68.4815 84.210 25.77
68.8477 83.604 23.52
69.2139 82.808 21.98
69.5801 81.831 21.86
69.9463 80.744 23.93
70.3125 79.711 28.83
70.6787 78.975 36.36
71.0449 78.721 45.16
71.4111 78.937 53.45
71.7773 79.467 60.26
72.1436 80.172 65.49
72.5098 80.981 69.33
72.8760 81.861 71.85
73.2422 82.774 73.05
73.6084 83.676 72.96
73.9746 84.523 71.73
74.3408 85.284 69.59
74.7070 85.943 66.78
75.0732 86.499 63.52
75.4395 86.955 59.95
75.8057 87.319 56.20
76.1719 87.596 52.35
76.5381 87.791 48.45
76.9043 87.906 44.58
77.2705 87.945 40.80
77.6367 87.916 37.20
78.0029 87.826 33.83
78.3691 87.688 30.75
78.7354 87.514 28.02
79.1016 87.319 25.67
79.4678 87.123 23.71
79.8340 86.947 22.11
80.2002 86.813 20.80
80.5664 86.733 19.61
80.9326 86.706 18.37
81.2988 86.713 16.94
81.6650 86.734 15.32
82.0313 86.753 13.59
82.3975 86.775 11.86
82.7637 86.819 10.16
83.1299 86.908 8.39
83.4961 87.046 6.28
83.8623 87.208 3.57
84.2285 87.346 0.14
84.5947 87.408 -3.95
84.9609 87.353 -8.48
85.3272 87.166 -13.13
85.6934 86.858 -17.62
86.0596 86.457 -21.76
86.4258 86.000 -25.51
86.7920 85.513 -29.03
87.1582 84.994 -32.54
87.5244 84.412 -36.17
87.8906 83.721 -39.90
88.2568 82.876 -43.47
88.6231 81.856 -46.46
88.9893 80.668 -48.34
89.3555 79.360 -48.55
89.7217 78.016 -46.69
90.0879 76.755 -42.56
90.4541 75.710 -36.28
90.8203 75.018 -28.39
91.1865 74.775 -19.97
91.5527 74.967 -12.44
91.9190 75.450 -6.85
92.2852 76.041 -3.41
92.6514 76.605 -1.72
93.0176 77.082 -1.20
93.3838 77.464 -1.39
93.7500 77.761 -1.97
94.1162 77.984 -2.76
94.4824 78.145 -3.61
94.8486 78.265 -4.33
95.2149 78.384 -4.83
95.5811 78.555 -5.20
95.9473 78.809 -5.81
96.3135 79.134 -7.12
96.6797 79.471 -9.41
97.0459 79.754 -12.66
97.4121 79.934 -16.63
97.7783 79.999 -20.98
98.1445 79.964 -25.46
98.5108 79.861 -29.98
98.8770 79.711 -34.64
99.2432 79.514 -39.59
99.6094 79.246 -44.94
99.9756 78.874 -50.67
100.3418 78.377 -56.60
100.7080 77.751 -62.52
101.0742 77.017 -68.23
101.4404 76.213 -73.71
101.8066 75.374 -79.09
102.1729 74.524 -84.66
102.5391 73.661 -90.75
102.9053 72.774 -97.64
103.2715 71.852 -105.51
103.6377 70.907 -114.46
104.0039 69.975 -124.57
104.3701 69.116 -135.80
104.7363 68.403 -147.90
105.1025 67.908 -160.29
105.4688 67.671 -172.18
105.8350 67.698 177.21
106.2012 67.970 168.29
106.5674 68.449 161.01
106.9336 69.087 154.98
107.2998 69.817 149.77
107.6660 70.574 145.10
108.0322 71.314 140.88
108.3984 72.020 137.14
108.7647 72.700 133.85
109.1309 73.369 130.91
109.4971 74.031 128.15
109.8633 74.677 125.44
110.2295 75.291 122.71
110.5957 75.859 120.00
110.9619 76.382 117.39
111.3281 76.865 114.90
111.6943 77.316 112.53
112.0606 77.736 110.23
112.4268 78.115 107.98
112.7930 78.447 105.84
113.1592 78.730 103.92
113.5254 78.982 102.35
113.8916 79.230 101.15
114.2578 79.502 100.22
114.6240 79.811 99.37
114.9902 80.150 98.41
115.3565 80.496 97.24
115.7227 80.831 95.90
116.0889 81.148 94.48
116.4551 81.455 93.04
116.8213 81.765 91.56
117.1875 82.081 89.98
117.5537 82.398 88.22
117.9199 82.704 86.26
118.2861 82.990 84.13
118.6524 83.252 81.87
119.0186 83.492 79.52
119.3848 83.707 77.07
119.7510 83.891 74.52
120.1172 84.036 71.92
120.4834 84.138 69.34
120.8496 84.197 66.87
121.2158 84.222 64.57
121.5820 84.223 62.47
121.9483 84.206 60.55
122.3145 84.174 58.82
122.6807 84.132 57.30
123.0469 84.092 55.98
123.4131 84.067 54.81
123.7793 84.062 53.64
124.1455 84.068 52.31
124.5117 84.055 50.76
124.8779 83.991 49.02
125.2442 83.857 47.29
125.6104 83.648 45.81
125.9766 83.382 44.78
126.3428 83.089 44.34
126.7090 82.799 44.49
127.0752 82.537 45.23
127.4414 82.327 46.50
127.8076 82.195 48.21
128.1738 82.165 50.19
128.5400 82.248 52.16
128.9063 82.428 53.86
129.2725 82.673 55.10
129.6387 82.945 55.89
130.0049 83.218 56.31
130.3711 83.482 56.53
130.7373 83.742 56.66
131.1035 84.013 56.74
131.4697 84.308 56.71
131.8359 84.632 56.47
132.2022 84.973 55.88
132.5684 85.307 54.87
132.9346 85.606 53.48
133.3008 85.850 51.85
133.6670 86.037 50.20
134.0332 86.181 48.66
134.3994 86.311 47.30
134.7656 86.446 46.01
135.1318 86.591 44.64
135.4981 86.728 43.09
135.8643 86.834 41.36
136.2305 86.891 39.59
136.5967 86.902 37.96
136.9629 86.886 36.60
137.3291 86.867 35.53
137.6953 86.868 34.66
138.0615 86.891 33.87
138.4277 86.928 33.08
138.7940 86.967 32.28
139.1602 87.005 31.52
139.5264 87.046 30.87
139.8926 87.101 30.31
140.2588 87.175 29.80
140.6250 87.270 29.28
140.9912 87.379 28.71
141.3574 87.497 28.09
141.7236 87.622 27.43
142.0899 87.756 26.74
142.4561 87.903 26.03
142.8223 88.064 25.26
143.1885 88.242 24.39
143.5547 88.439 23.40
143.9209 88.651 22.20
144.2871 88.871 20.74
144.6533 89.086 18.96
145.0195 89.278 16.88
145.3858 89.430 14.57
145.7520 89.536 12.14
146.1182 89.595 9.70
146.4844 89.617 7.35
146.8506 89.615 5.14
147.2168 89.599 3.07
147.5830 89.578 1.12
147.9492 89.559 -0.74
148.3154 89.547 -2.55
148.6817 89.544 -4.35
149.0479 89.547 -6.23
149.4141 89.548 -8.22
149.7803 89.534 -10.33
150.1465 89.494 -12.51
150.5127 89.424 -14.68
150.8789 89.329 -16.76
151.2451 89.218 -18.73
151.6113 89.100 -20.60
151.9776 88.976 -22.42
152.3438 88.839 -24.21
152.7100 88.681 -25.93
153.0762 88.502 -27.50
153.4424 88.310 -28.82
153.8086 88.126 -29.85
154.1748 87.969 -30.65
154.5410 87.855 -31.34
154.9072 87.779 -32.08
155.2735 87.728 -32.98
155.6397 87.681 -34.02
156.0059 87.629 -35.15
156.3721 87.575 -36.27
156.7383 87.533 -37.38
157.1045 87.514 -38.55
157.4707 87.514 -39.92
157.8369 87.515 -41.59
158.2031 87.491 -43.55
158.5693 87.422 -45.67
