score,crossover_hz,sub_delay_ms,sub_gain_db
8.592644,54.000000,3.475000,-10.750000
8.592648,54.000000,3.500000,-10.750000
8.592702,54.000000,3.475000,-10.625000
8.592705,54.000000,3.450000,-10.750000
8.592712,54.000000,3.500000,-10.625000
8.592718,54.000000,3.525000,-10.750000
8.592758,54.000000,3.450000,-10.625000
8.592787,54.000000,3.525000,-10.625000
8.592794,54.000000,3.475000,-10.500000
8.592810,54.000000,3.500000,-10.500000
8.592832,54.000000,3.425000,-10.750000
8.592845,54.000000,3.450000,-10.500000
8.592853,54.000000,3.550000,-10.750000
8.592881,54.000000,3.425000,-10.625000
8.592892,54.000000,3.525000,-10.500000
8.592921,54.000000,3.475000,-10.375000
8.592928,54.000000,3.550000,-10.625000
8.592943,54.000000,3.500000,-10.375000
8.592962,54.000000,3.425000,-10.500000
8.592965,54.000000,3.450000,-10.375000
8.593025,54.000000,3.400000,-10.750000
8.593033,54.000000,3.525000,-10.375000
8.593040,54.000000,3.550000,-10.500000
8.593053,54.000000,3.575000,-10.750000
8.593070,54.000000,3.400000,-10.625000
8.593076,54.000000,3.425000,-10.375000
8.593083,54.000000,3.475000,-10.250000
8.593113,54.000000,3.500000,-10.250000
8.593120,54.000000,3.450000,-10.250000
8.593134,54.000000,3.575000,-10.625000
8.593145,54.000000,3.400000,-10.500000
8.593188,54.000000,3.550000,-10.375000
8.593210,54.000000,3.525000,-10.250000
8.593224,54.000000,3.425000,-10.250000
8.593253,54.000000,3.575000,-10.500000
8.593254,54.000000,3.400000,-10.375000
8.593282,54.000000,3.475000,-10.125000
8.593285,54.000000,3.375000,-10.750000
8.593311,54.000000,3.450000,-10.125000
8.593317,54.000000,3.600000,-10.750000
8.593320,54.000000,3.500000,-10.125000
8.593325,54.000000,3.375000,-10.625000
8.593374,54.000000,3.550000,-10.250000
8.593396,54.000000,3.375000,-10.500000
8.593397,54.000000,3.400000,-10.250000
8.593405,54.000000,3.600000,-10.625000
8.593409,54.000000,3.425000,-10.125000
8.593410,54.000000,3.575000,-10.375000
8.593426,54.000000,3.525000,-10.125000
8.593500,54.000000,3.375000,-10.375000
